,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,30.4,24.9,23,38.7,0.7,15.1,30.5,0.6,19.7,40.7,10.1,23.7,21.5
Beijing Jiaotong University,46.9,39.5,41.1,48.6,3.1,60,49.9,2.6,20.3,65.2,16.8,29.1,38
UFG - Universidade Federal de Goiás,48.1,37.5,53.5,50.4,1.2,19,27.1,0.8,14.2,39.6,16.5,27,17.8
Mohammed V University of Rabat,49.5,87.7,17.3,28.4,2.9,16,31.3,0.7,16.7,41.6,32.9,22.3,28.2
Thammasat University,28.6,20,47.8,54.4,1.5,14.6,40.7,1.1,11.7,38.9,40.1,43.8,19.3
Kangwon National University,31.8,32.7,42.4,34.6,0.6,35.4,37.5,0.6,17.8,36.3,18.1,22.6,22.8
Kaunas University of Technology,33.9,24.8,23.5,47,0.4,27,29.2,0.2,5.6,38.9,35.5,24.6,31.2
Prince of Songkla University,29.3,22.1,40.8,44.4,3.5,15.6,29.3,1.8,17.6,35.4,47.8,29.6,20.5
Ankara University,38.6,30.5,32.1,38.9,4,14.1,29.5,2.1,13.9,35.1,15.1,24.9,27.6
"University of the Sunshine Coast, Australia",30,30.6,54.1,29.3,1,82.4,33.9,0.4,46,40.3,75,62.2,68.6
Chungnam National University,39.3,47,42.9,38,3,41.7,57.4,2.1,12.1,46.6,15.8,27.4,25.8
Vietnam National University - Ho Chi Minh City (VNU-HCM),27.6,20.3,18.3,35.9,2.4,12,27.1,1.4,16,42.8,74.2,26.7,19.9
Pusan National University,45,56.4,69.6,40.1,2.2,63.5,78.3,2.7,24.9,63.4,17.2,40,49.7
University of Sfax,64.4,73.6,14.6,50,1.4,23.8,24.6,1.2,17.3,34.4,76,23.7,19.4
Khon Kaen University,34.8,31.9,65.9,38.2,4,19.1,32.7,2.7,18,55.2,37.9,34.7,20.7
Canterbury Christ Church University,29.7,25.8,31.7,42.3,0.6,30.2,24.8,0.6,20.1,34.4,16.5,58.6,52
Ege University,35.2,29.1,31.7,36.6,1.6,17.5,29.9,1.2,13.5,37.9,14.6,27.5,24.2
Universidade Federal de São Carlos,66,49.3,31.3,47.2,3.9,24.5,33.3,3,17.3,41.2,27.3,25.3,20.8
Universidad Nacional de Cordoba,33.7,21.5,17.9,61.4,6.4,11.5,25,3.2,21.2,35.1,57,23.3,22.6
De La Salle University,29.2,24.1,21.7,40.8,4.8,23.1,31.9,3.2,26.4,34.4,44.8,23.9,23.5
Tamkang University,28.4,23.1,28.2,33.2,5,26.7,29.6,3,12.8,35.9,19.1,33.3,38.4
Marmara University,39,59.1,21,30.4,0.9,16.3,25.1,1,19.4,34.6,14.4,27.8,26.3
Makerere University,27.7,22.2,43.5,34.1,3.5,22.6,34.8,2,69.6,40.9,99.8,38.3,38
Universidade Estadual de Londrina,45.5,42,27.8,45.6,1.4,13.9,49.4,1.1,16.3,34.4,14.2,24.2,17.8
University of Lethbridge,27.5,20.1,34,51.7,0.7,31.6,28.8,0.5,22.3,34.5,68,54.2,50.7
Universidad Austral de Chile,30,20.3,28.5,41,0.7,23.2,37.9,0,22.7,46.9,91,38.5,21.2
University of Tunis El Manar,54.9,50.7,15.8,62.6,1.5,19.1,28,0.8,18.3,34.5,74.1,28.8,19.6
Kharazmi University,71.3,74.3,30.1,36.8,0,26.7,36.5,0.1,21.2,44.7,11.5,20.9,18.9
Federal University of Viçosa,66.7,59.6,36.5,48.8,2.2,34.3,31.6,1.9,12.3,47.6,14.9,25.3,20.2
Universidad del Norte,27.6,21.7,37.2,37.2,0.4,23.2,29.5,0.5,11.5,36.7,87.8,43.8,22.7
University of Antioquia,30.6,22.6,52.8,33.8,1.8,15.6,66.7,0.9,17.2,40.6,68.6,26.9,17.7
University of Central Lancashire,28.4,22.2,30.2,43.2,0.7,34.7,26.5,0.7,39.7,34.8,70.4,53.4,70.1
Universidade Federal da Bahia,35.4,45.9,29.7,44.3,2.2,15,48.8,1.6,18.7,34.4,25.4,28.6,17.6
University of Pecs,40,24.6,30.5,57.6,1.5,19.2,60.2,0.4,40.9,37.5,63.2,22.6,81.8
Worldwide: Top*,89.4,100,100,79.3,22.5,100,95.9,18.9,100,70.7,99.9,100,100
Worldwide: 75%,55.1,61.7,59.7,53.5,9.7,70.2,55.5,8,71.9,49.8,79.4,63,67.3
Worldwide: Median,39.8,39.5,39.3,43.4,3.2,39.3,36,2.4,45.5,39.4,47.2,34.4,38.3
Worldwide: 25%,32.1,26.8,27.3,35.7,1.1,21.6,28.6,0.7,23.3,35.7,20.5,25.2,22.4
Worldwide: Bottom*,26.4,17,14.1,17.6,0,9.6,24.4,0,1.7,34.4,1.1,20.9,16.7
