,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.02,0.05,162681,19.3,2.1,1.2,31741,1.4,N/A,11056,18.9%,1.4%,2.1%
Beijing Jiaotong University,0.1,0.18,408241,14,5.2,7.9,135147,9.4,N/A,52859,21.8%,3.7%,7.8%
UFG - Universidade Federal de Goiás,0.11,0.14,558579,13.4,5,2.4,34226,3.5,N/A,9200,23.6%,2.8%,0.5%
Mohammed V University of Rabat,0.11,0.54,63664,33.4,10.9,1.9,22831,3.5,N/A,12583,31.4%,0.7%,4.6%
Thammasat University,0.01,0.03,490027,12.1,2.7,1.2,48778,1.3,N/A,7941,31.8%,9.4%,1.2%
Kangwon National University,0.03,0.14,424561,23.1,0.3,5.4,68246,1.6,N/A,3333,24.9%,0.8%,2.6%
Kaunas University of Technology,0.04,0.08,170543,14.7,0.0,3.1,21118,0.0,N/A,7996,31.2%,1.8%,5.6%
Prince of Songkla University,0.02,0.05,404978,15.8,9.2,1.8,21403,6.5,N/A,1791,37.3%,3.9%,1.7%
Ankara University,0.06,0.11,293705,19.1,4.4,1.3,28515,2.7,N/A,1232,22.8%,1.9%,4.4%
"University of the Sunshine Coast, Australia",0.02,0.11,565304,31.3,4.2,7.7,60154,0.8,N/A,10325,47.1%,16.1%,17.1%
Chungnam National University,0.07,0.25,430538,19.9,4.8,6.7,153152,5.9,N/A,21141,24.5%,3%,3.7%
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.03,4,21.7,2.5,0.9,1,1.3,N/A,1,46.1%,2.7%,1.4%
Pusan National University,0.09,0.31,762319,18.3,4.2,9.8,240915,9.6,N/A,49559,24.6%,8%,11.3%
University of Sfax,0.19,0.4,10332,13.5,0,3.4,1602,0.6,N/A,27,47.4%,1.3%,1.2%
Khon Kaen University,0.04,0.14,712486,19.7,10.9,2.3,64856,11.5,N/A,35548,33%,6%,1.8%
Canterbury Christ Church University,0.02,0.08,288688,17,0.9,1.5,1178,0.9,N/A,2,20.8%,14.7%,12%
Ege University,0.05,0.12,287552,21,4.7,2.2,21339,3.8,N/A,6235,22.5%,3.1%,3.1%
Universidade Federal de São Carlos,0.19,0.27,282585,14.6,9.4,3.1,46994,8.2,N/A,11939,29.4%,2.1%,1.8%
Universidad Nacional de Cordoba,0.04,0.05,76045,10.4,15.7,0.6,1647,8,N/A,1179,42.3%,1.1%,2.5%
De La Salle University,0.02,-,141967,17.8,11.1,-,-,10.6,N/A,0,36.5%,1.4%,2.9%
Tamkang University,0.01,0.05,239974,24.7,11.5,3.1,28588,7.7,N/A,2741,25.9%,5.4%,7.9%
Marmara University,0.07,0.25,129553,29.1,2.2,1.6,5061,2,N/A,374,21.6%,3.2%,3.9%
Makerere University,0.01,0.05,121,23.6,5.9,2.5,9,4.5,N/A,3,75.9%,7.4%,7.8%
Universidade Estadual de Londrina,0.1,0.18,233460,15.3,3.6,1.2,96473,1.4,N/A,N/A,21.9%,1.5%,0.5%
University of Lethbridge,0.01,0.02,318488,12.9,1.9,3.1,21917,1.8,N/A,141,44.9%,13.1%,11.6%
Universidad Austral de Chile,0.02,0.04,243982,17.7,2.7,2.5,57710,0.3,N/A,21510,59.1%,7.4%,2%
University of Tunis El Manar,0.14,0.25,35863,10.1,0.5,2.7,15011,0,N/A,184,46.7%,3.6%,1.3%
Kharazmi University,0.22,0.4,266246,20.9,0,3.6,37729,0.4,N/A,17877,19.6%,0%,1%
Federal University of Viçosa,0.2,0.28,350394,14,4.1,5.8,25529,4.5,N/A,22774,23.3%,2.1%,1.6%
Universidad del Norte,0.01,0.02,359390,20.5,0.1,1.6,14073,1.5,N/A,4120,49.2%,9.4%,2.6%
University of Antioquia,0.02,0.07,549732,24,5.9,1.8,119732,3.7,N/A,10879,44.3%,2.8%,0.4%
University of Central Lancashire,0.01,0.05,267727,16.4,1.3,2.6,7850,3.1,N/A,607,44.6%,12.8%,17.6%
Universidade Federal da Bahia,0.05,0.2,260808,15.9,5.2,1.4,57537,4.8,N/A,N/A,28.2%,3.5%,0.4%
University of Pecs,0.07,0.07,272081,11.3,3.8,2.1,105466,1.5,N/A,5435,43.4%,0.8%,22%
Worldwide: Top*,0.3,0.67,11252000,36.1,56.1,17.6,2129020,61.1,0,427678,77.8%,37.9%,37.6%
Worldwide: 75%,0.14,0.32,4720430,21.9,23.9,8.7,874587,25.7,0,176317,48.9%,16.4%,16.6%
Worldwide: Median,0.07,0.17,889742,16.4,7.6,5,172296,7.1,0,22534,37.1%,5.8%,7.9%
Worldwide: 25%,0.03,0.08,339617,12.3,2.4,2.7,37142,2.1,0,4072,26.4%,2%,2.4%
Worldwide: Bottom*,0,0,0,0.9,0,0,0,0,0,0,4.9%,0%,0%
