,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,36.8,38.9,27.7,26.2,2,18.4,32.1,1.2,15.2,22.9,21,40.3,40.7,12.7,6.2,27.2,32.3,38.3
Chungnam National University,61.2,90.1,60.3,28.9,2.5,65.4,99,1.5,15.7,67.7,19.9,85.8,90.6,86.3,9,28.8,30.7,38.1
Canterbury Christ Church University
Pusan National University,68.1,99,95.7,35.1,12,90.3,99.9,9,30.3,86.8,33.7,95.5,96.2,97.7,18.2,32.6,42.5,60.5
De La Salle University,44.3,26.6,42.3,42.4,2.4,24.3,31.2,1.9,38.2,31.1,27.6,46,30,3.3,33.9,27,27.4,31.1
University of Lethbridge
University of Pecs,41.7,39.3,89.4,23.8,0.7,43,29.6,0.8,3.9,15.1,7.8,46.2,30,7.5,28.5,31,81.5,50.3
Prince of Songkla University,33.8,38.8,42.4,29.4,0.9,55.7,51.4,1.4,36.2,62.2,41.8,70.8,81.5,38.6,51.3,29.4,25.7,32.8
Universidad Austral de Chile,25,22.8,45.2,21.9,0.7,23,33.7,0.6,22.6,17.8,33.2,21.3,43.1,3.1,87.4,54.6,26.2,35.8
"University of the Sunshine Coast, Australia"
Ege University,46.9,60.6,60.8,29,1.8,31.3,55.8,1.8,23.7,42.4,28.3,57.9,91,34.6,17.2,29.4,39.3,83.9
UFG - Universidade Federal de Goiás,33,27.6,49.2,61.2,0.5,22.5,81.4,0.8,12.4,15.8,14.3,34,35.4,22.8,23.8,34.9,25.5,43.4
Kharazmi University,62,45.9,26.2,32.7,0.7,68.6,30.5,0.3,44.9,63.6,61.6,62.1,32.2,20.6,24.4,26.7,27.2,31.1
Makerere University
Dokuz Eylul University,36.8,38.9,27.7,26.2,2,18.4,32.1,1.2,15.2,22.9,21,40.3,40.7,12.7,6.2,27.2,32.3,38.3
Thammasat University,34,39.9,84.6,35.3,5.1,39.6,92.9,3,27.8,48.5,27.9,60.9,57.6,16.9,34.2,41.3,35.9,98.4
Ankara University,45.2,37.9,69.6,40,1.9,20.3,49,1.2,34.6,40.9,64.4,33.4,58.7,12.6,34.5,32,34.2,66.8
Universidade Estadual de Londrina,73.6,57.2,28.4,73.8,0.3,31.6,33.3,0.1,23.1,19.9,32.9,37.9,39,8.6,11.6,31.9,25.8,31.1
Universidade Federal da Bahia,56,52.8,49.8,21.4,1.7,22.1,30.6,0.9,17.2,22.4,17.4,39.1,1.3,11.9,22,33.9,25,32.8
Universidad Nacional de Educacion a Distancia,100,62.5,93.1,33.7,0.3,46.9,33.2,0.1,25.8,39.6,25.6,51.8,40.6,38.6,28,31.3,34,31.1
Vietnam National University - Ho Chi Minh City (VNU-HCM),28.3,29.1,34.1,14.9,7.7,22.3,42,5.6,21.6,42.7,31.8,44,64.4,9.3,49.6,35.9,24.7,31.6
Marmara University,35.5,33.2,43.3,24.6,0.7,22.7,49,1.4,34.6,37.1,37.3,43.2,55,21.3,16.7,28.2,38.1,67.2
University of Tunis El Manar,100,100,35.7,84,7.3,80.7,50.1,5.7,21.9,70.2,16.1,85.6,84.2,45.1,74.7,62.4,44.2,100
Obafemi Awolowo University (OAU),32.9,35.1,24.8,23,2.9,26.2,29.3,2.1,24,26.3,23,36.6,30,5.1,73.5,26.7,24.4,31.1
Rowan University,32.1,39.6,62.8,24.3,0.8,36.7,52.9,0.1,20.9,29.4,34,44.9,34.7,36.6,27.9,95.6,41.5,31.1
Chungbuk National University,44.5,56.7,56.8,36.8,1.1,43.6,66.1,1,19.5,53.7,21.4,67.5,42.5,57,20,26.7,26.9,34.6
Mohammed V University of Rabat,93.6,87.7,31.7,50.8,2.9,52.4,38.1,0.9,35.6,78.7,46.4,80.7,61,8.9,33,28.1,29.1,95.1
Kaunas University of Technology,50.9,44.5,34.6,64.1,2.1,23.5,44.7,1.9,45.5,40.6,35.7,43.9,43.6,22.7,45,28.4,56.2,67.5
Universidade Federal de São Carlos,81.6,72.2,41,26.1,6.3,44.9,36.9,5.7,33.6,55,34.9,69.7,31.5,59.2,34.5,30.3,26.3,31.1
Tamkang University,29.4,33,40.1,21.7,1.4,32.5,41.2,0.9,56.7,41.7,25.6,48.7,43.9,50.6,53,27.9,30.2,34.6
University of Sfax,59.5,54.2,21.4,88.9,2.6,48.6,28.9,3.1,31.6,70.9,28.4,83.1,31,30,83.2,26.7,26.5,85.7
Khon Kaen University,37.6,42.3,37.4,37.7,3.2,39.7,38.7,2.5,58.8,58.9,51.3,61.8,52.2,14.6,29.8,28.8,27,58.8
Chapman University
Universitas Sebelas Maret,30.6,28.7,29.4,46.7,1.2,32.6,45.8,0.3,33.9,36.8,24.2,47.6,85.8,1.9,27.9,83.9,28.9,94.9
Universitas Padjadjaran,68.4,60,44.8,85.2,0.8,30.8,41,0.7,9.5,22.5,9.4,46.1,59.3,1.7,15.6,73.2,30.6,38.4
Universidad Nacional de Cordoba,63.8,26.2,23.3,85.6,4.2,14.1,28.6,3.1,15.8,6,12.3,13.7,30.7,9.9,53.8,28,30.9,37.5
Universidad del Norte,31.7,35.5,51.9,26.9,0.4,23.1,32.2,0.1,50.2,23.5,42.7,27.6,36.4,14.3,71.3,32,24.7,99.2
Federal University of Viçosa,92.2,53.6,38,58.2,4.9,18.8,35,2.8,25.1,20.3,24.7,30.8,38.1,14.4,17,32.7,27.1,34
University of Antioquia,32.6,41.4,80.5,11.5,1.1,24.2,90.3,0.6,28.2,29.8,28,43,69.6,13.7,63.1,30.1,24.7,1.9
University of Calcutta,99.9,96.6,35.7,70.5,4.1,64.1,43.2,2.6,16,58.3,21.8,79.6,48.9,33.1,9,26.7,26.2,31.1
Kangwon National University,33.1,45,70.7,24.4,1.5,49.5,60.3,1.2,19.1,56.1,22.6,71,36.6,68.3,14.8,28.7,26.9,31.1
University of Central Lancashire
Beijing Jiaotong University
