,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,25.9,22.4,26.5,31.3,0.2,52.4,28.3,0.2,49,46.2,22.2,61.2,30.8,18.7,27.2,25.6,30.9,37.9
Chungnam National University,53.1,80.6,58.2,27.5,3,57.4,97.5,1.8,21.9,69.7,29,86.7,74.8,76.6,14.9,32.5,38.6,42.1
Canterbury Christ Church University
Pusan National University
De La Salle University
University of Lethbridge,29.9,29.4,53.7,52.4,0.1,32.9,42.7,0.6,34.1,37.5,38.9,44.1,30.3,12.6,52.8,62.2,61,20.6
University of Pecs,33.8,27.8,50.9,63.8,2.8,57.9,36.3,2.5,35.9,55.4,24,66.5,41.7,60.1,42.9,28.9,70.2,74.7
Prince of Songkla University,37.2,34.2,36.2,65.3,5.4,31.4,41.9,5,25.8,56.5,32.4,72.4,67,24,48.7,30.6,45.4,31.8
Universidad Austral de Chile,54.7,35.7,37.5,60.6,3.3,26.2,51,2.8,31,42.8,34.5,48.4,75.7,9.7,80.3,56.5,32.4,32.1
"University of the Sunshine Coast, Australia",74.6,89.3,84.7,17.9,1.3,76.6,82.3,1.6,57.6,75.3,67.9,74.4,71.6,9.2,81.4,83.6,59.4,30.8
Ege University,39.2,47.1,60.1,32.6,1,27.2,78.7,2.1,23.5,41.6,16.6,70,100,16,13.5,27.9,36.9,75
UFG - Universidade Federal de Goiás,80,61,37.5,46.1,2.2,31.6,46.9,2.4,20.4,49.4,15.6,69.2,32.1,13.1,19.7,31.3,26.8,38.4
Kharazmi University,85.9,78.4,26.4,35.6,1.8,31.5,29.7,1.2,27.4,30.4,37.9,43.1,31.8,8.1,29.8,25.6,27.2,30.8
Makerere University,47,28.7,96.7,49.1,8.5,22.1,100,5.9,24.6,33,24.3,39.1,84.2,10.3,98.2,76.6,31,45.7
Dokuz Eylul University,25.9,22.4,26.5,31.3,0.2,52.4,28.3,0.2,49,46.2,22.2,61.2,30.8,18.7,27.2,25.6,30.9,37.9
Thammasat University,27.9,25.4,43.4,63.6,1.8,35.5,37.7,2,12,26.5,9.2,60.5,33.8,12.4,21.1,29.8,23.8,39
Ankara University,37.3,30.4,40.8,64.6,2.8,22.7,34.2,2.8,29.6,40.8,19.7,61.5,51.1,23.2,15.7,31.5,37.5,82
Universidade Estadual de Londrina,83.2,69,32.4,59,2.2,34.3,35.2,2.4,17.7,44.5,17.2,72.3,30.7,12.9,11.5,26.5,25.9,51
Universidade Federal da Bahia,62.4,47.1,47.8,30.6,2.1,33.3,30.3,1.8,24.4,51.9,19.7,64.7,1.9,14.2,26.7,31.9,24.1,30.8
Universidad Nacional de Educacion a Distancia
Vietnam National University - Ho Chi Minh City (VNU-HCM),28.1,27.3,27.8,23.5,1.5,20.4,32.9,1.9,31.6,28.6,37.2,31.6,37.9,5.7,60.9,30.9,23.2,30.8
Marmara University,27.2,25.7,35.1,23.2,0.6,33.2,31.4,0.6,33.6,41.2,27.2,52.8,35.6,20.8,30.8,25.6,54.3,47.3
University of Tunis El Manar,99.7,99.4,33.7,76.7,1.4,40.2,48.9,0.9,23.6,50.8,16.2,71,90.5,33.6,81.6,47.3,41.6,100
Obafemi Awolowo University (OAU),28.7,28.7,26.5,20.6,1.4,22.3,29.1,2.7,7.7,15.4,4.2,44.6,30.6,4.1,41.7,25.6,23.1,30.8
Rowan University,29.3,31.2,58.7,28.6,0,31.8,36.2,0,37.8,33.5,37.6,43.8,31.1,20.7,16.9,50.4,40.6,30.8
Chungbuk National University,51.3,62.3,59.1,39.6,1.1,44.5,68.3,0.8,22.4,55.4,21.4,78,51.8,65.4,11,35,29.5,30.8
Mohammed V University of Rabat,59,71.1,27.8,20.4,0.7,27.9,35.2,2.8,31.1,43.3,34.7,44.9,56.8,6.2,56.2,36,30.6,42.9
Kaunas University of Technology
Universidade Federal de São Carlos,87.5,47.7,43,62.9,4.7,35.4,44,4.3,26.9,54.5,29,70.5,86.6,19,32.1,31.8,27.1,30.8
Tamkang University
University of Sfax,66.1,99.5,24.4,18.7,3.1,49,30.3,0.7,55.1,67.3,52.3,77.8,36.9,23.2,82.4,25.6,24.5,70.8
Khon Kaen University,39.5,57.1,39.7,21.6,5,92.7,59.6,4.6,15.5,69.5,16.5,92.4,45.6,35.9,34.9,28.8,25.6,63.9
Chapman University
Universitas Sebelas Maret,33,30.4,29.6,34.1,1.8,19,42.1,0.8,8.4,10.6,3.6,33,92.2,0.5,11.2,65.1,24.4,51.9
Universitas Padjadjaran,32.9,29.3,26.4,51.8,3.1,16.3,31,2.1,11.4,14.8,4.8,34.9,42,0.7,17.7,69.6,25.9,59.6
Universidad Nacional de Cordoba,41.7,23.9,27.6,70.4,13.8,16.1,28.5,7.4,29.5,24,23.2,36.2,31.5,8.6,48.4,28.2,26.6,36.4
Universidad del Norte
Federal University of Viçosa,95.1,49.8,39,75.6,18.4,27.7,34.5,13.1,18.4,52.1,14.1,79.5,42,12.3,17,27.7,32.4,31.4
University of Antioquia,37.1,39.6,52.9,28.6,0.5,25.5,95.5,1.8,43.2,39.5,16.6,56.9,99.7,21.1,56.5,39.9,23.4,20.6
University of Calcutta,100,100,35.2,40.9,12.9,31,42.6,3.3,20.3,43.2,21.2,68.7,50.8,11.7,6.9,25.6,24.8,30.8
Kangwon National University,41,67.4,70.2,26,1.2,47.7,70.3,1.8,23.7,61.9,26.8,81.9,41.7,50.1,16.3,31.4,28.3,30.8
University of Central Lancashire,40.7,36.3,42.7,83.5,1.7,23.7,29,0.6,38,35.3,53.2,34.4,31,21.6,84.4,55.8,80,30.8
Beijing Jiaotong University
