,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,34.6,28.6,29.8,35,0.5,20.4,29.9,0.3,11.7,20.9,16.9,45.1,42.8,11.6,8.7,24.9,34.4,31.9
Chungnam National University,33.9,61.6,72.9,24.7,3.7,66.4,86,1.8,14.6,60.4,21.9,77.9,52.2,87.5,17.2,29.4,28.6,45.7
Canterbury Christ Church University
Pusan National University,44,99,98.3,24.3,7.6,96.6,99.9,4.2,30,85.3,35.4,93,74.1,98.6,25.3,39.9,46.1,57.6
De La Salle University,63.9,23.3,29.5,68,2.3,22.1,28.2,0.4,34,26,28,39.7,31.3,3.1,33.5,26.9,29.1,31.9
University of Lethbridge,31.7,41.8,69.7,34.7,0.9,33.2,33.1,0.1,24.3,26.3,19,36.2,31.2,14.6,63.8,77,55.6,25.9
University of Pecs,63.9,38.2,39,77.1,0.5,37.9,61.1,0.4,7.4,25.6,8.9,49.9,41.7,24.8,31.4,24.9,98.8,42.3
Prince of Songkla University,28.9,28.8,41.5,49.9,0.2,17.6,39.5,0.3,32.1,33,41.9,40.4,68.2,19.8,40.2,28.1,27.8,32.8
Universidad Austral de Chile,60.1,26.8,40.4,35.4,0,24.9,51.3,0.1,42.6,33.4,41,31,80.5,2.7,84.4,57.8,30.3,31.9
"University of the Sunshine Coast, Australia"
Ege University,32.6,49.1,65.1,21.7,0.2,33.5,42.5,0.8,15.4,36.6,17,58.2,68.9,33.8,20.2,24.9,31.4,55.8
UFG - Universidade Federal de Goiás,70.5,47.4,35.4,38.1,0.7,21.3,38.6,0.4,30.9,27.2,15.9,42.3,33.7,18.6,27.6,32.7,25.9,31.9
Kharazmi University,67.4,55.2,25.1,40,0,29.3,28.9,0,31.7,40.1,35.5,48.1,32.6,11.2,21.1,24.9,28.1,31.9
Makerere University,24.4,23.2,85.1,55.7,0.3,13.4,70.8,0.3,39.7,13.4,37.7,18.1,97.8,1.6,92.7,80,32.5,45
Dokuz Eylul University,34.6,28.6,29.8,35,0.5,20.4,29.9,0.3,11.7,20.9,16.9,45.1,42.8,11.6,8.7,24.9,34.4,31.9
Thammasat University,26.1,33.3,42.3,29,1.1,34.7,40,0.2,19.2,38.1,17.4,57.3,45.1,14.3,31.1,35.8,26.9,72.2
Ankara University,68.6,44.9,30.6,34.3,1.9,16.5,30,0.9,17.6,41.5,53.1,35.2,46.9,19,46.1,26.2,33.8,42.2
Universidade Estadual de Londrina,99,91.2,29.2,36.6,1,21.8,32.3,0.2,15.7,19.5,15.6,32.9,42.6,5.7,13.3,26.8,28.9,42
Universidade Federal da Bahia,53.2,35.6,30.9,33.9,1.1,14.6,28.3,0.7,9.5,15.6,11.2,32.3,11.3,10.9,20.8,44.6,24.9,31.9
Universidad Nacional de Educacion a Distancia,41.8,44.8,60.8,17.7,0.1,28.4,32.5,0,38.5,29.3,19,42.6,41.4,31.5,33.4,28.3,31.3,36.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),28.6,29.3,24.5,33.9,0.5,20.3,28,1.3,24.1,40.8,29.1,46,31.3,6.7,42,32.8,24.2,31.9
Marmara University,22.5,20.7,52.4,21.2,0.5,44.4,31,0.1,42.2,58.6,65.4,51.7,34.5,33.9,38.4,27.9,30.7,88.4
University of Tunis El Manar,86.5,100,36.1,40.1,4.2,51.6,54.4,2.3,12,48.7,8.4,76.2,92.6,30.1,69.8,53,38,100
Obafemi Awolowo University (OAU),23.4,22,25,26.8,3.3,22.6,27.8,1.5,18.9,24.7,15.3,33.9,31.3,7.6,55.9,24.9,24.2,31.9
Rowan University,22.5,20.7,72.4,85.9,0,18.7,31.8,0,57.8,20.5,41,26.3,32.2,28.3,40.6,65,32.3,31.9
Chungbuk National University,34.1,46.4,52.6,36.6,0.7,54.3,51.8,0.3,11.3,44.8,17.4,68.5,44.6,72.5,22.1,26.1,26.8,31.9
Mohammed V University of Rabat,44.1,72.6,28.1,21.7,5.9,21.7,37.6,5.3,29.5,57.6,50.7,55.5,62.5,17,45.8,25.4,27.8,50.1
Kaunas University of Technology,22.5,20.7,35.7,70.9,1,28,42.8,1.1,30.8,38.2,32.1,46.4,49.7,30.4,36.7,27.5,29.8,92.2
Universidade Federal de São Carlos,93.5,73.5,41.7,34.2,4.1,29.5,34.8,3.6,27.5,43.4,24.3,62.4,31.6,48.9,26.9,37.3,28.1,31.9
Tamkang University,22.9,22,37.4,23.7,2.5,26.1,36.6,1.6,46.1,36,31.7,41.6,35,33.6,53.7,30.7,27.7,34.5
University of Sfax,99.7,75,22.5,51.5,2.4,26.3,27.7,2.4,27.6,49.5,22.4,70,32,17.3,70.6,24.9,29,86.6
Khon Kaen University,43.8,62.8,29.5,32.3,0,28.3,39.1,0.8,59.2,47.4,38.7,54.6,77.3,12.6,31.8,28.2,26.3,48
Chapman University,22.5,20.7,95.3,99.4,0.7,29.1,33.5,0.7,33.1,26.1,46.4,30.2,31.3,5.6,88,45.6,48.2,31.9
Universitas Sebelas Maret,22.5,20.7,35.1,26.8,0.2,85.6,49.3,0.2,27.1,69.9,42.1,94.5,96.8,2.4,1.9,83.8,26.9,80.2
Universitas Padjadjaran,34.3,36.5,30.2,42.2,0.3,19.6,39.4,0.3,24.7,31.9,22.4,51.8,43,1.3,7.3,49.1,26.9,56.4
Universidad Nacional de Cordoba,73.7,23.6,31.8,39.3,3.6,18.9,27.5,3,19.4,22.1,12,41.6,33.1,22.4,60.5,33,29.9,44.2
Universidad del Norte,44.5,29.3,29.4,66.3,0,25.9,30.8,0,26.5,20.6,25.9,28.2,39.3,14.9,72,37.7,24.2,100
Federal University of Viçosa,96.8,35.2,42,82.6,0.5,19.5,34.9,0.3,14.9,25.5,14.6,42.9,45,12.9,14.8,30.4,30.1,31.9
University of Antioquia,34.3,30.1,65.1,34.9,0.3,25.8,34.4,0.4,31.8,43.8,47.8,44.3,31.5,14.7,75.1,49.9,24.9,25.9
University of Calcutta,22.1,100,41.2,41.9,10.1,34.9,46.2,3.8,13.8,45.5,18,68.9,56.2,26.6,10.2,24.9,25.7,31.9
Kangwon National University,30.4,40.3,63.8,29.4,1,78.7,59.6,0.5,19.8,60.7,18.6,77.2,43.6,74.8,15.2,28.1,25.4,31.9
University of Central Lancashire
Beijing Jiaotong University
