,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,34.1,38.9,30.1,26.2,11.4,27.1,36.8,4.1,20.5,16.5,20.2,46.9,52.1,9.7,6.6,31.8,36.9,41.9
Chungnam National University
Canterbury Christ Church University,34.2,36.3,30,35.1,17.7,28.9,34.8,5.6,34.5,38.4,48.2,49.6,36.1,0,18.1,63.5,60.2,34.8
Pusan National University,59.1,80.3,95.6,42.3,0,28.1,93.6,0,33.4,23.3,33.1,38.2,80.5,13.9,43.4,38.3,42.8,49.2
De La Salle University,100,37.4,31.3,88.2,5.6,31.2,33.6,5.5,44.5,50.1,56.3,43.8,36.1,0,31.3,27.8,64,34.8
University of Lethbridge
University of Pecs
Prince of Songkla University,33.6,30.5,57.9,37.3,5.6,31.7,73,0.7,57.1,56,77.9,50.8,66.5,0,44.5,30.8,29,34.8
Universidad Austral de Chile,31.1,25.9,49.4,30.9,0.5,34.1,37,3,26.5,26.9,20.7,40.7,50.2,0,74.7,47.2,29.6,44.8
"University of the Sunshine Coast, Australia",35.7,36.7,62.9,33.1,7,65.6,35,1.8,50.7,85.7,74.5,87.2,36.1,0,34.4,53.3,46.4,34.8
Ege University,31.8,28.3,50.9,30.3,8.4,29.8,37.7,3.3,27.5,23.7,31.3,43.4,55.5,0,24.8,27.8,32.1,66.4
UFG - Universidade Federal de Goiás,81.4,44,30.2,80.7,6.6,25.2,34.2,3.6,16.5,5.8,8,34.3,36.9,0,15.5,38,28.7,34.8
Kharazmi University,95.2,87.6,27.3,47.9,13.5,36.3,34.4,2.4,80.9,69.1,90.9,38.7,36.4,0,45.2,27.8,30.7,34.8
Makerere University,34.3,70.1,85.9,30.9,6.9,25.7,100,11.8,34.5,22.3,40.1,31.6,100,0,96,99.1,29,38.1
Dokuz Eylul University,34.1,38.9,30.1,26.2,11.4,27.1,36.8,4.1,20.5,16.5,20.2,46.9,52.1,9.7,6.6,31.8,36.9,41.9
Thammasat University,31.1,25.9,59.8,98.7,0,41.2,41.6,0,42.2,54.6,47.8,63.7,49,0,48.5,77.2,27.7,34.8
Ankara University,52.6,45.8,28.7,41.3,20.7,26.9,38.5,15.9,29.3,26.1,31.3,45.7,56.9,0,19,35.4,34.5,42.8
Universidade Estadual de Londrina,90,96.7,29.6,43.5,7.5,39.4,45.1,2.4,13.8,13.9,7.7,61.5,38.5,0,38.9,27.8,29.2,34.8
Universidade Federal da Bahia,64.2,95.4,31.1,42.9,6.6,31.8,41.1,12.8,15.6,10.6,7.2,55.8,7.1,0,37.8,32.6,29.3,34.8
Universidad Nacional de Educacion a Distancia,43.4,77.2,44.2,20.9,35,63.5,32.7,23.8,53.8,92,54,90.9,36.3,13.8,44.9,27.8,38.4,37.6
Vietnam National University - Ho Chi Minh City (VNU-HCM)
Marmara University,36.4,50.7,54.1,23.9,3.5,27.1,32.7,4.1,30.3,27,31.3,39.5,36.2,0,26.5,45,37.3,58.6
University of Tunis El Manar
Obafemi Awolowo University (OAU)
Rowan University,39.6,38.6,57.4,47.2,0,35.8,31.9,0,53.7,62.4,49.1,65,36.1,0,9.1,67.9,33.5,34.8
Chungbuk National University
Mohammed V University of Rabat
Kaunas University of Technology
Universidade Federal de São Carlos,100,95.2,37.6,34.1,18.4,46.9,38.6,10.6,15,10.9,8.9,86.5,36.2,12.3,22,27.8,28.7,34.8
Tamkang University,50.5,56.8,33.7,43.8,0,37.4,49.4,0,33.9,42.7,47.9,60.2,43.7,34.3,16.7,35.4,37.2,34.8
University of Sfax
Khon Kaen University,49.1,65.7,34.5,27.7,10.7,35,35.6,7.1,31.5,38.6,29.6,50.7,52,0,46.2,86.1,31.7,100
Chapman University,91.6,81.2,66.8,72.5,21.1,38.6,42.7,2.9,61.2,53.2,71.7,45.4,38.9,19.4,18.8,35.2,50.5,34.8
Universitas Sebelas Maret,41.7,49.1,35.1,32.5,11.2,26.8,76.9,7,33.6,30.7,31.8,43.2,100,0,17,73.9,31.7,91.4
Universitas Padjadjaran
Universidad Nacional de Cordoba
Universidad del Norte,44.6,33.8,35.1,78.2,0,48.7,40.8,2.8,38.9,40.6,30.7,57.1,83.4,0,73.1,99.4,29.1,100
Federal University of Viçosa
University of Antioquia,34.2,41,60,20.9,13.2,27.6,82.7,3.4,22.8,7.4,23.4,43.8,44.8,0,41.4,29.8,28.3,19.4
University of Calcutta
Kangwon National University
University of Central Lancashire,37.2,32.3,59.8,70.1,0,55.8,31.5,4.5,59.1,77.7,57.3,69.2,36.1,0,80,54.4,63.5,99.1
Beijing Jiaotong University
