,Teaching,Research,Citations,Industry,International Outlook
Dokuz Eylul University,15.6,9.6,25.3,42,18.9
Ankara University,17.9,10.8,18,34.8,24.8
Universidad Austral de Chile,16.3,12.7,21.8,45.4,51.2
Beijing Jiaotong University,23,24.2,23.2,67.1,37.7
Canterbury Christ Church University,17.5,12,22.3,33.4,43.1
Chapman University,38.1,12.8,38.6,36.8,35.9
Chungbuk National University,18.1,13.7,15.9,36.5,23.3
Chungnam National University,24.7,22.2,14,44.5,23.4
De La Salle University,18.2,12.7,22.4,33.4,26.9
Ege University,21.7,14.1,14.4,36.2,20.5
UFG - Universidade Federal de Goiás,20.8,10.1,14.9,38.6,21.1
Universidade Federal de São Carlos,26.2,16.9,19.2,41.9,25.2
Federal University of Viçosa,26.4,16.1,15.2,46.5,20.7
Kangwon National University,18.9,15.9,18.8,36.9,22.3
Kaunas University of Technology,17.1,10.9,8.7,38.5,35.9
Kharazmi University,31.4,13.7,23.8,37.7,18.9
Khon Kaen University,22.8,13.3,18.4,56,30.3
Universidade Estadual de Londrina,21.9,13.4,15,33.3,19.5
Makerere University,18.3,24.7,68.7,100,54.7
Marmara University,16.8,8.5,21.4,33.4,24.4
Mohammed V University of Rabat,27.2,10.3,14.8,41.6,27.9
Universidad Nacional de Cordoba,19,9.5,20.1,33.9,34.7
Obafemi Awolowo University (OAU),17.7,9.3,13.7,36.3,33.3
Prince of Songkla University,17.9,11.2,18.8,37.8,31.5
Pusan National University,27.4,29,24.3,67.1,34.7
Tamkang University,16.5,12.5,14.5,35.5,33.2
Thammasat University,20.4,13.3,11.2,39,34.4
Universidade Federal da Bahia,23.3,14.2,21,33.3,23.8
Universitas Padjadjaran,22.5,8.6,14.5,40.5,22
University of Antioquia,17.2,13.1,16.5,41.3,37.3
University of Calcutta,36.9,12.3,14.2,44,15.9
University of Central Lancashire,17.4,13.1,37.8,33.6,65.9
University of Lethbridge,17.3,12.2,21.4,33.5,57.8
University of Pecs,36.3,11,40.1,35.2,56.5
University of Sfax,25.6,11.1,16.4,33.4,41.8
Universidad del Norte,15,10.7,21.5,35.1,52.6
"University of the Sunshine Coast, Australia",19.1,24.5,47.9,38.7,70.1
University of Tunis El Manar,25.8,10.1,18.5,33.5,41.1
Vietnam National University - Ho Chi Minh City (VNU-HCM),15.7,9.4,20.1,40.3,39.4
Worldwide: Top*,53.3,57.4,100,72.8,100
Worldwide: 75%,32.5,30,71.3,50,63
Worldwide: Median,23.5,17.5,45.1,38.5,42.3
Worldwide: 25%,18.6,11.4,23.5,34.8,27.5
Worldwide: Bottom*,11.7,7.1,1.9,33.3,13.5
