,Teaching,Research,Citations,Industry,International Outlook
Dokuz Eylul University,16.1,7.6,14.5,32.8,16.9
Ankara University,18.9,8.9,11.4,32.4,20.8
Universidad Austral de Chile,17.4,10.9,24.4,42.8,48.5
Beijing Jiaotong University,22.2,21.9,11.9,58.2,22.5
Chungnam National University,23.2,18.3,13.1,43.9,21.9
UFG - Universidade Federal de Goiás,18.7,7.3,13.6,31.7,17.6
Universidade Federal de São Carlos,25.5,12,15.9,32.3,22.4
Federal University of Viçosa,25.8,7.4,8.7,50.3,19.1
Kaunas University of Technology,18.1,11.7,3.3,35.7,23.7
Khon Kaen University,19.8,9.3,16.9,53.5,30.9
Universidade Estadual de Londrina,23.8,9.4,10.6,31.8,16.3
Makerere University,17.5,11.6,75.8,38.1,58.5
Marmara University,19.4,22.7,16.5,31.7,20.5
Mohammed V University of Rabat,24.4,7.9,20,37.8,30
Universidad Nacional de Cordoba,18.3,8.6,20.2,5,30.9
Prince of Songkla University,16.4,8.1,20.3,34,32.2
Pusan National University,27.1,27.9,28.8,63.1,34.9
Tamkang University,16,11.1,9.3,33.5,25
University of Antioquia,18.1,21.7,17.5,38.7,38.8
University of Calcutta,33.3,13.3,14,33.5,14.6
University of Central Lancashire,17.2,12.5,35.3,32.2,59.3
University of Pecs,19.4,10.1,39.3,46.9,55.3
"University of the Sunshine Coast, Australia",17.1,20.9,46.5,34.4,63.3
University of Tunis El Manar,22.7,9.3,7.3,32.1,38.3
Worldwide: Top*,56.3,63.7,100,74.4,99.8
Worldwide: 75%,34.5,32.3,74.2,50.4,63.9
Worldwide: Median,24.9,18.9,47,38.4,43.7
Worldwide: 25%,19.9,11.3,22.9,33.6,26.8
Worldwide: Bottom*,11.1,1.3,0.8,9.1,7.9
