,Teaching,Research,Citations,Industry,International Outlook
Dokuz Eylul University,15.1,9.5,19.7,40.7,18.4
Ankara University,19.2,10,13.9,35.1,22.5
Universidad Austral de Chile,15,12.2,22.7,46.9,50.2
Beijing Jiaotong University,23.4,23.5,20.3,65.2,28
Canterbury Christ Church University,16.4,11.3,20.1,34.4,42.4
Chungnam National University,22.7,21.1,12.1,46.6,23
De La Salle University,17.1,12.9,26.4,34.4,30.7
Ege University,17.2,10.2,13.5,37.9,22.1
UFG - Universidade Federal de Goiás,23.3,9.7,14.2,39.6,20.4
Universidade Federal de São Carlos,26.2,13.4,17.3,41.2,24.5
Federal University of Viçosa,28.1,14.3,12.3,47.6,20.1
Kangwon National University,17.6,15,17.8,36.3,21.1
Kaunas University of Technology,16.5,11.4,5.6,38.9,30.4
Kharazmi University,28,12.7,21.2,44.7,17.1
Khon Kaen University,21.6,12,18,55.2,31.1
Universidade Estadual de Londrina,21.4,13.3,16.3,34.4,18.7
Makerere University,16.7,12.7,69.6,40.9,58.7
Marmara University,21.3,8.9,19.4,34.6,22.9
Mohammed V University of Rabat,28.2,9.9,16.7,41.6,27.8
Universidad Nacional de Cordoba,20.6,9.2,21.2,35.1,34.3
Prince of Songkla University,18.1,10.1,17.6,35.4,32.6
Pusan National University,27,30,24.9,63.4,35.7
Tamkang University,16.4,13,12.8,35.9,30.2
Thammasat University,18.6,11.7,11.7,38.9,34.4
Universidade Federal da Bahia,21.8,13.7,18.7,34.4,23.9
University of Antioquia,16.7,17,17.2,40.6,37.7
University of Central Lancashire,15.7,12.7,39.7,34.8,64.6
University of Lethbridge,16.7,12.4,22.3,34.5,57.6
University of Pecs,19.6,16.1,40.9,37.5,55.9
University of Sfax,28.9,10.4,17.3,34.4,39.7
Universidad del Norte,15,10.9,11.5,36.7,51.4
"University of the Sunshine Coast, Australia",17.3,23.5,46,40.3,68.6
University of Tunis El Manar,25.6,9.9,18.3,34.5,40.8
Vietnam National University - Ho Chi Minh City (VNU-HCM),14.1,8.7,16,42.8,40.3
Worldwide: Top*,56.4,57.5,100,70.7,99.7
Worldwide: 75%,33.6,30.1,71.9,49.8,62.8
Worldwide: Median,23.8,18,45.5,39.4,43.1
Worldwide: 25%,18.3,11.6,23.3,35.7,27.4
Worldwide: Bottom*,11.2,6.8,1.7,34.4,13.1
