,Physical Sciences,Computer Science,Social Sciences,Life Sciences,Clinical and Health,Law,Business and Economics,Arts and Humanities,Education,Engineering,Psychology
Dokuz Eylul University,16.5,21,24.7,,25.4,,23.6,,20.2,17
Makerere University,19,,23.8,24,31.3,,22.1,,25.5,,24.8
UFG - Universidade Federal de Goiás,17.9,15.4,16,22.3,23.5,,16,16.4,18.1,17.9
Kharazmi University,22.6,,27.5,22.6,,,26.4,,38.8,28.4,30
Prince of Songkla University,22.9,24.1,27.4,29.3,26,,25.7,,33.1,27.7
Universidad Austral de Chile,23.3,,23,25.1,18.2,28,,18.8,20.6,16.6
University of Lethbridge,21,,21.8,21.9,25,,,,,,33.7
University of Pecs,20.6,,22.4,27.2,37.7,,20.3,,,17.1,28.3
Universidad Nacional de Educacion a Distancia,21.8,25.3,29.2,,,21.9,21.7,26.3,38,21.8,28.2
Thammasat University,20,20.6,22.9,19.4,20.1,,27.7,23.4,32.6,28
Ankara University,21.2,,19.9,25.2,24.3,,,18,27.9,24.3,22.5
Dokuz Eylul University,16.5,21,24.7,,25.4,,23.6,,20.2,17
Universidade Estadual de Londrina,17.7,,16.5,21.6,24.7,,,,22.3,19.6,20
Universidade Federal da Bahia,14.1,17.6,21.2,22.6,24.9,19.1,19.6,23.3,25.1,15.8,19
De La Salle University,20.3,21.2,23.7,,,,22.4,21.4,31.3,18.9,33.3
Pusan National University,39.9,40.6,40.5,,36.6,,45.9,,29.9,41.5
"University of the Sunshine Coast, Australia",,,37.1,41.4,36.1,,36.1,25.4,34.5,31.2,30.9
Ege University,20.3,23.8,21.7,23.4,29.2,,27.2,,23.7,22.6
Chungnam National University,28.7,32.5,25.8,32,31,,,,,32.6
Canterbury Christ Church University,,,24.5,,26.9,,,,24.2,,31
University of Antioquia,22.5,23.8,17,26.3,24.8,,20.5,18.8,23.1,21.7,20.9
Universitas Sebelas Maret,27.5,19.8,25.7,15.9,20.6,37.6,29.1,,28.1,23.9
Universitas Padjadjaran,19.6,22.1,21.8,18.6,22.9,28.3,25.7,,,23.1
Universidad Nacional de Cordoba,18.4,,16,21.4,22.8,,,14.3,,15,19.3
Universidad del Norte,20.2,,28.4,,,,,,32.9,22.5
Federal University of Viçosa,18.5,,18.5,28.5,19.4,,21.8,,,19.4
Mohammed V University of Rabat,26.7,27.6,24.9,26.3,21.2,,22.2,,,30.4
University of Sfax,25.3,29.6,30.2,34.6,25.9,,31.7,,,28.1
Khon Kaen University,31.9,29.8,21.8,29.4,27,,27.6,,32.6,29.7
Kangwon National University,27,26,24,28.5,26.6,,25.4,,,25.3
University of Central Lancashire,,,26,28.9,30.1,29.9,30.7,25.7,34.1,,33.8
Obafemi Awolowo University (OAU),16.9,,21,15.4,24,,28.1,,,18.3
Marmara University,24.4,23.6,22.3,23.5,23.1,,20.3,,23.3,22.6
University of Tunis El Manar,28.9,34.3,,31.3,27.6,,38.1,,,36.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),19.7,20.2,22.2,21.2,27.4,,23.5,,,24.2
Universidade Federal de São Carlos,25.2,25.5,27.1,28.3,25.3,,,20.8,28.4,27.9,25.9
Tamkang University,27.1,19.7,19.6,,,,21.2,,27,26.2
Kaunas University of Technology,23.4,27.4,26.1,,,,32.9,,,28.1
Rowan University,31.3,,20.6,21.1,30,,28.6,,29.1,25.1,28.3
Chungbuk National University,26.1,29.4,,30.4,31,,,,,29.3
Beijing Jiaotong University
University of Calcutta
Chapman University
