,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,56.3,86.6,52.3,15.9,1,29.1,31.8,1.2,28.4,29.2,34.7,50.7,38.9,15.1,10.1,31.6,53,43.1
Makerere University
UFG - Universidade Federal de Goiás,27.9,26.3,23.9,50.8,0,21.5,33.1,0.5,23.1,15.5,12.5,34.8,35,8.2,36.6,33.8,26.6,32.7
Kharazmi University
Prince of Songkla University,27.9,26.3,50.6,88.9,1.9,46.7,46.5,0.6,29.7,43.7,20.3,67.1,57.6,16.7,32.2,26.5,32.4,44.5
Universidad Austral de Chile
University of Lethbridge
University of Pecs
Universidad Nacional de Educacion a Distancia,61.4,35.1,41.9,39.9,2.1,28.2,32.4,1,58.8,34.9,48.5,50.6,34.5,24.9,24.9,28.3,34.4,32.1
Thammasat University,30.3,30,33.2,29,3.7,52.7,40.9,1.8,14.8,37.4,12.8,67.7,38.5,45.1,42.4,26.5,26.6,31
Ankara University
Dokuz Eylul University,56.3,86.6,52.3,15.9,1,29.1,31.8,1.2,28.4,29.2,34.7,50.7,38.9,15.1,10.1,31.6,53,43.1
Universidade Estadual de Londrina
Universidade Federal da Bahia,100,97.8,32.3,18.1,1.8,29.1,32.7,1.7,11.4,20.4,12.7,45.9,33.7,15.9,31.7,35.9,25.4,33.3
De La Salle University,42.8,35.3,40.4,67.7,3.8,32.7,32.2,1.9,26.9,44.5,23.2,62.3,33.1,10.5,9.8,39.3,29.6,90.3
Pusan National University,51.4,74.3,91.8,44.2,8.4,99.7,100,3.8,32.6,85.7,33,95.7,99.5,85.6,21.1,34.5,62.7,41.1
"University of the Sunshine Coast, Australia"
Ege University,39.4,64.9,43.4,20.7,0,54.1,30.7,0.7,32.4,48.6,40.2,57.3,33.8,36.1,43.2,26.5,38.7,84
Chungnam National University,91.1,99.7,96.8,30,0,91.4,99.2,0,18.1,61.9,24.6,87,89,74.1,12.3,26.5,27.7,92.8
Canterbury Christ Church University
University of Antioquia,42.3,48.8,99.2,17.5,0,23.5,100,0,27.2,20.1,24.9,34.3,89.1,12,73.3,42.2,25.3,31
Universitas Sebelas Maret,27.9,26.3,27.4,78.7,0.6,49.8,43.3,0.8,9.4,21.3,6,66.7,77.6,0.4,14.8,84.4,30.9,84
Universitas Padjadjaran,27.9,26.3,33.6,66.7,2,37.3,58,1.3,22.9,30.5,20.2,46,99.3,1.6,24.7,47.5,25.2,49.5
Universidad Nacional de Cordoba
Universidad del Norte
Federal University of Viçosa
Mohammed V University of Rabat,99.9,77.9,31.3,69.8,4.7,38.5,39.3,1.1,28.2,66.1,27.5,82.4,52,33.7,15.9,34.4,32.7,93.7
University of Sfax,87.4,60.2,23.7,61.5,4.9,33.9,30.8,5.5,41,67.7,39.6,74.4,33.8,39.8,70.3,26.5,28,57.3
Khon Kaen University,47.8,79.7,35.5,19.7,1.4,64.7,36.2,1.6,57.1,70.8,44.2,70.1,33.1,18.8,50.9,32,27.2,99.8
Kangwon National University,34.4,64.5,88.3,21.7,0.7,64.7,70.2,0.4,22.2,43.9,35.5,65.9,41.8,75.5,12.7,26.5,29.7,35.7
University of Central Lancashire
Obafemi Awolowo University (OAU)
Marmara University,36.1,41.8,53,18.2,1.6,31.9,33,0.3,52.8,40.2,34.5,54.5,40.6,19,18.1,26.5,41,31
University of Tunis El Manar,99.6,96.2,36.4,87.3,14.2,34.2,50.1,8.1,29.7,61.2,25.7,69.1,80.6,36.4,62.8,43.5,32.2,100
Vietnam National University - Ho Chi Minh City (VNU-HCM),30.1,29,34.6,20.1,4.5,23.1,34.7,2.7,25.2,49.3,30.5,51.7,39.9,17.2,38.5,29,25.3,31.3
Universidade Federal de São Carlos,100,54.6,36.1,96.4,6.6,39.8,34.7,4.1,25.6,35.1,21.7,61.8,37.6,39.4,32.3,29.8,27.3,53
Tamkang University,30.1,28.9,34.3,37.7,0.7,32.2,33,0.4,23.7,31.1,16.3,52.1,34.1,56.1,26.9,31.9,48.4,33.9
Kaunas University of Technology,34.9,36.5,42.7,38,2,30.9,37.1,0.8,60.3,56.5,53.8,52.7,46.3,18.9,40.4,28.8,32.2,55.8
Rowan University
Chungbuk National University,62.9,77.6,60.1,56,4,42.5,75.4,2,30,57.1,34,70.3,40,56.9,26.6,31,43.7,43
Beijing Jiaotong University
University of Calcutta
Chapman University
