,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,58.3,90.6,55.5,20.2,3.1,31.9,29,1.5,40.2,41.5,36.3,52.5,34.1,49.3,26.8,25.4,50.9,36
Makerere University,27.7,24.8,55.7,28.9,5.7,28.7,6,6.2,37.5,43.4,34.5,55.6,29.4,7.6,96.5,80,32.4,35.3
UFG - Universidade Federal de Goiás,69.9,49,25.9,57.5,0.4,19.4,57.4,1.1,15.5,10.6,4.3,31.9,38.1,5.5,19.4,37.9,25,31.7
Kharazmi University,100,91.7,27,55.1,0,29.1,32.9,0,56,44.4,58.2,34.9,44.2,33.1,57,28.1,30.5,29.6
Prince of Songkla University,27.7,24.8,34.7,29.9,0,44.4,41.5,1.5,51.1,54,62.5,54.9,66.2,32.6,70.6,73,44.3,47.3
Universidad Austral de Chile,49.9,31.7,30.3,80.6,2.8,33.5,44.8,2.5,29.5,31.9,15.9,50.1,59.8,5.6,69.4,64.9,27.5,39.1
University of Lethbridge,35.3,34.1,40.4,54.4,2.2,33.6,38.1,0.4,31.4,30.3,32,49.6,34.2,20.8,36.3,57,64.4,28.4
University of Pecs,39.2,31.6,32.8,72.7,3.4,37.2,31.2,2,30.1,34,21.7,55.6,33.8,24.5,23.2,36.6,88.4,54.8
Universidad Nacional de Educacion a Distancia,75.4,74.1,58.8,30.6,3.9,78.2,33.5,3,34,77.5,26.1,88.3,37.7,49.7,20.9,31.3,45.6,29.6
Thammasat University,33.8,34.6,44.4,49,2,23.3,60.3,1.9,36.1,35.5,26.3,48.5,46.2,13.1,57.6,61.4,30.6,73.7
Ankara University,75,60.1,22.6,26.5,6.5,17.8,29.7,7.5,27.8,16.8,20.7,28.6,36.5,11,23.6,31.7,50.5,31.8
Dokuz Eylul University,58.3,90.6,55.5,20.2,3.1,31.9,29,1.5,40.2,41.5,36.3,52.5,34.1,49.3,26.8,25.4,50.9,36
Universidade Estadual de Londrina,93.1,72.9,29.7,54,2.4,23.8,40.4,0.5,12.2,4.9,2.7,35.2,33.8,24.5,20.1,27.4,25.7,33.4
Universidade Federal da Bahia,99.6,71.9,28.3,53.4,9.5,21.9,32.6,7.8,18.9,18,6.1,48.4,35,8.4,26,28.5,24.9,29.3
De La Salle University,33.4,29.1,38.2,74.4,4.4,28.6,32.7,4.2,38.2,40.2,38,51.9,33.8,51.8,29.9,35.5,26.4,70
Pusan National University,61.4,94.9,100,30.1,2.5,65.4,95.4,2.8,58.5,68.8,39.1,67.8,100,81.6,51.3,99.1,98.8,74.6
"University of the Sunshine Coast, Australia",53.2,73,95.3,21,1.9,97.4,38.5,1.3,57.8,94.2,85.7,89.6,35,33.7,56.5,64.1,48.8,28.4
Ege University,50,86.7,45.4,21.9,2.1,34.9,29.1,2.6,30.6,40.9,23.7,50.1,33.8,21.2,24.5,25.4,36.7,65.9
Chungnam National University,51.9,75.5,74.8,29,0.9,31.8,69.9,1.8,35.7,38.7,36,47.9,37.9,81.9,32.1,28.9,40.2,46.1
Canterbury Christ Church University,43.4,54.5,49,36.9,1.5,47.5,29.2,1,36.5,53.9,31.1,68.1,33.8,0,10.9,66.6,79.4,34.8
University of Antioquia,32.1,29.7,47.5,39,2.3,19.9,44.4,2.9,24.1,15.8,9.3,39.9,37.3,11.3,36,36.9,24.2,28.4
