,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,99.8,95.5,60.6,50.1,1.6,23.1,86.4,1.5,27.2,23.7,16.1,43.7,100,12.3,13.3,30.1,45.8,43.8
Makerere University,32.4,30.7,70,46.6,6.7,33.3,6.9,7.1,51.4,54.3,40.6,53.9,6.9,24.1,99.3,60.7,40.8,99.9
UFG - Universidade Federal de Goiás,61.7,53.4,27.3,60.4,1.3,25.5,44,1.1,39.7,29.5,25.4,43,35.3,10,39.4,27.6,25.6,38.4
Kharazmi University
Prince of Songkla University,35.7,32.9,83.1,77,7,26.6,49.9,6,30,28.5,21.8,54.3,71.6,21.9,40.6,31.5,28.2,33.4
Universidad Austral de Chile,32,30.3,37.7,27.9,0.1,27,35.2,0.3,24.7,16.1,27.6,25.7,39.6,15,85.2,32.7,25.4,35.3
University of Lethbridge,34.4,38.8,57.4,30,0.4,31.5,39.1,0,35.7,25.4,45.3,38.2,59.1,18.4,47.9,76,63.8,31.2
University of Pecs,99.9,100,100,21.4,4.5,55.9,89.4,3,37.4,62.7,39,71,56.5,69.5,52.4,52.3,98.7,77.1
Universidad Nacional de Educacion a Distancia
Thammasat University,34.2,31.5,68.8,91.9,2.9,23.4,35.9,3,24.3,17.7,16.2,36.3,41.9,9.8,35,32.7,25.9,82.1
Ankara University,35.8,32.7,29.8,62.6,7.1,23.3,34,6.6,36.8,31.6,15.2,51.8,40.5,26.4,16.7,30,45.6,49.1
Dokuz Eylul University,99.8,95.5,60.6,50.1,1.6,23.1,86.4,1.5,27.2,23.7,16.1,43.7,100,12.3,13.3,30.1,45.8,43.8
Universidade Estadual de Londrina,40.4,37.2,53.1,80.6,1.9,27.4,83.1,1.3,29.8,26.6,26.8,44.2,81.3,10.1,44.4,28.2,26.1,33.4
Universidade Federal da Bahia,43,44.1,39.5,41.4,4.7,26.4,33.2,6,45.3,30.8,17.2,49.6,34.5,16.7,37.2,29.8,24.6,32.6
De La Salle University
Pusan National University,64.3,70.8,66.3,51.3,5.9,94.6,82.9,5.1,31,82.5,30.8,98,61,88.7,7.3,29.5,28.8,43.3
"University of the Sunshine Coast, Australia",32.3,38,68.6,21.9,1.4,57.2,57.5,0.9,54.5,61.5,59.5,63.9,92,12.3,61.9,80.7,84.4,31.2
Ege University,73.9,96.4,79.6,42.6,3.4,33,50.2,3.3,35.3,44.4,15.6,70.9,93,30.9,16,28.6,36,46.9
Chungnam National University,51.7,51.1,77.2,65.9,1.3,45.9,68.9,5.2,35.7,55,31.9,78.4,48.1,71.3,6.7,34.1,33.6,45.3
Canterbury Christ Church University,32.2,31.8,52.1,33.1,0.6,29.5,32.8,0.4,40.7,36.4,77.1,34.4,34.1,3.8,54,53.4,81.7,31.2
University of Antioquia,31.9,29.5,43.6,70.7,5.1,24.3,51.6,3.2,42.9,26.8,13.1,44.4,42.6,17.6,58.2,29.8,24.7,31.2
Universitas Sebelas Maret,46,37.8,28.4,93.9,1.3,25.6,44.4,0.7,36.2,12.6,2.2,29.2,79.6,0.7,10,47.8,34.8,100
Universitas Padjadjaran,51.6,52.4,28,81,3.5,22.7,36.5,2.5,36.1,18.8,9.1,37.8,41.7,4.1,20.6,81,35.6,85.4
Universidad Nacional de Cordoba,33.4,29.8,27.1,36.7,1.6,20.4,32.1,2,54.1,11.5,39.4,12.3,34.8,10.1,69.7,31.5,29.8,34.3
Universidad del Norte
Federal University of Viçosa,34.9,32.1,38.3,53.1,1.5,35.3,37.3,1.3,21.7,21.8,20.9,53.2,49.2,10.2,27.2,27.6,26.2,33.9
Mohammed V University of Rabat,100,100,31.4,24.8,0,27.6,42.4,0.3,22.7,28,9.8,48.6,47,7.4,27.5,27.6,55.3,56.9
University of Sfax,90.7,63.2,24.3,87.5,2,26.4,31.8,1.9,37.1,31.6,28.8,50,34.7,12.1,61.7,27.6,37,39.6
Khon Kaen University,71.3,81.7,56.6,64.9,10.3,27.1,41.9,8.1,25.9,27.3,15.4,57.9,64.4,21.6,42.4,30.5,32.1,100
Kangwon National University,40.8,44.9,45.5,51.8,5.2,48.7,46,4,29.8,46.9,25.3,70.9,37.4,64,12,27.6,26.9,32.6
University of Central Lancashire,32,30.7,39.8,34.8,2.1,27.3,34,4.3,45.9,37.1,62.4,42.7,34.5,17.7,77.4,72.9,97,31.6
Obafemi Awolowo University (OAU),32.8,32.1,25.6,42.2,2.7,29.4,32,2.2,49.4,25.9,15.7,43.1,34.7,7,81.8,27.6,23.9,31.2
Marmara University,38.5,42.3,52.3,37.7,3,27.9,33.4,3.1,33.5,37.6,16.7,60,36.6,21.8,16.1,28.2,43.7,44.2
University of Tunis El Manar,87.9,77.7,50.8,87.7,2.9,27.1,83.9,1.9,23.5,28.2,6.3,67.5,99.7,19.6,33.3,36.9,61.7,75.2
Vietnam National University - Ho Chi Minh City (VNU-HCM),31.2,28.5,27.1,72.7,1.5,26.9,32.2,1.2,54.7,27.4,69.9,24.6,34.1,8,82.3,27.6,24.5,31.2
Universidade Federal de São Carlos,55.1,49.6,34.1,57.4,6.4,49.8,35.7,4.4,24,40.8,22.7,71.2,34.1,20.6,41.9,31,29,45.5
Tamkang University
Kaunas University of Technology
Rowan University,99.9,99.3,81.8,59.3,0.4,37.4,36.2,0.7,41,45.7,44.3,52.9,34.3,33.3,17.4,54.2,39.3,32.7
Chungbuk National University,46.8,53.8,64.3,65.3,7.8,56.8,76.4,1.5,36.4,50.4,29.7,70.1,52.2,69.6,8.2,27.6,30.6,31.2
Beijing Jiaotong University
University of Calcutta
Chapman University
