,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,43.5,56.6,31.8,15.2,2.5,24.2,34.6,2.4,46.2,49.4,50.7,58.7,41,33.7,15.4,26.4,44.9,41.3
Makerere University,28.7,34.7,68.8,22.8,3.5,27.3,3.2,2.8,37.3,35.9,36.5,58.9,31,7.4,65.6,74.1,28.6,33.9
UFG - Universidade Federal de Goiás,70,48,21.8,38.7,0.1,28.8,37.2,0.1,24.9,16.2,7.4,49.4,34.6,10.1,23.5,26.4,26.4,31.4
Kharazmi University,100,88.1,29,54.4,0,34.4,34.3,0,48.2,50,55.6,49.7,35.6,18.9,67.6,27.9,31.1,30.1
Prince of Songkla University,29.2,28.5,77.9,38.9,1,24.3,38.9,1.3,50.7,46.1,55.2,50.3,43.5,40.7,50.1,63.5,25.6,30.8
Universidad Austral de Chile
University of Lethbridge
University of Pecs,38.5,39.8,45.8,51.9,1.9,42.3,45.9,2.6,27.8,28.4,15.9,58.3,34.8,0,18.7,26.4,49.2,57.8
Universidad Nacional de Educacion a Distancia,44.3,46.6,54.7,16.7,1.5,41.9,34.1,1.1,33.5,49.3,24.8,63.1,37.3,48.1,24,28,39,30.4
Thammasat University,30.1,29.2,74,69.9,1.8,29.9,100,2.6,36.4,42.8,23,64.5,93.6,30.5,50.5,45.9,27.3,86
Ankara University
Dokuz Eylul University,43.5,56.6,31.8,15.2,2.5,24.2,34.6,2.4,46.2,49.4,50.7,58.7,41,33.7,15.4,26.4,44.9,41.3
Universidade Estadual de Londrina
Universidade Federal da Bahia,93.3,77.6,31.5,36,3.1,22.1,37.4,3.1,30,19.1,18.7,38.6,35.9,27,19.3,33.2,26.6,31.2
De La Salle University,34.7,31,53.9,61,2.4,23.7,35.8,1.7,44.2,35.3,39.7,53.6,34.2,0,38.6,29.7,32.6,61.9
Pusan National University,88.4,99.9,100,31.9,0,92.7,94.8,1.3,71.3,97.6,95.2,85.2,99.5,97.4,78.9,53.3,68.6,95.8
"University of the Sunshine Coast, Australia",53.5,57.2,55.7,55.2,6,89.8,35,0.8,46.9,79.6,63,84.1,35.9,88.2,67.1,65.1,77,29.5
Ege University,54.9,89.5,46.7,21.6,2,47.8,31.8,1.4,44,67.8,41.1,68.4,37.4,63.5,29.9,29.6,34.3,90.6
Chungnam National University
Canterbury Christ Church University
University of Antioquia,27.8,26.2,83.9,28.2,0.3,22.5,99.9,1.6,35.8,23.9,22.6,35.4,35.3,8.4,24.1,28.6,25.6,29.5
Universitas Sebelas Maret,81.3,61.5,29.8,82.1,7.4,39.2,75,5.1,35.3,49.7,17.2,63.5,99.5,0,16.7,78.1,30,84.1
Universitas Padjadjaran,98.8,63.4,27.7,99.6,6.8,23.1,52.3,5.8,29,24.1,14.8,53,62.8,0,53.6,61.3,33.5,53.2
Universidad Nacional de Cordoba
Universidad del Norte
Federal University of Viçosa,94.9,49.3,36.4,91.8,8.2,23.3,34.8,4.3,30.3,15.8,25.7,43.5,49.8,8,19.2,29.2,27.3,30.4
Mohammed V University of Rabat,50.5,90.9,27.3,10.5,1.5,26.7,61.2,1.4,31.2,34.7,18.8,60.8,97.8,7.6,17.4,26.4,33.4,30.2
University of Sfax,100,98.5,21.9,40.8,1.9,36.3,31.5,5.2,50.7,81.9,63.3,79.9,35.7,81.1,49,27.4,33.4,39.1
Khon Kaen University,34.7,39.4,40.9,25.7,1.4,36.2,55.3,0.9,55.8,56.7,44.2,51.9,97.2,26.7,49.2,52.2,31.7,99.8
Kangwon National University,39.9,67.8,83.6,30.2,0,41.7,42.7,0,40.7,43.7,44,56.5,46.8,73.1,26.1,26.4,42.7,35.1
University of Central Lancashire,46.6,42,40.4,43.3,0,34.1,33.2,0,55.8,63.6,72.9,63.2,34.4,50.9,53.7,75.8,100,32.2
Obafemi Awolowo University (OAU),75.7,100,34.2,13.9,1.4,66.2,37.1,1.1,39.7,66.5,46.8,80.2,44.4,34.1,57.2,26.4,26,29.5
Marmara University,74.3,83.7,35.2,19.1,2.8,20.3,32.3,3.9,34.1,27.5,25.8,40.8,36.8,17.7,21.3,26.4,34,43.9
University of Tunis El Manar,100,100,43,68.3,1.9,47.3,98.4,3.5,52.2,77.9,67.2,65.6,100,47,65.6,62.9,43.1,81.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),32.3,30.8,35.4,25.3,5.6,29.6,31.9,7.2,38.5,56.2,45.9,51.8,34.2,27.1,33.1,36.7,25.8,32.7
Universidade Federal de São Carlos
Tamkang University,30.3,29.7,35.3,42.2,4.6,25.5,36.2,3.2,31.5,31.6,25.8,54.1,35.3,43.1,36.9,29.7,45.2,33.4
Kaunas University of Technology,46.2,34.6,46.6,67.5,5.3,54.5,78.1,7.2,53.6,79.6,49.8,69.9,44.9,30.2,47.8,28.6,34.2,45.9
Rowan University,27.8,26.2,75.5,30.9,0,43.1,31,1.5,61.2,67.4,64,63.6,34.2,32.7,42.4,73,31.4,33.9
Chungbuk National University
Beijing Jiaotong University
University of Calcutta
Chapman University
