,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,43.3,25.5,32.7,46.8,1,15.7,31.2,1.4,17.9,36.3,6.1,23,24.9
Mohammed V University of Rabat,53.5,44.4,31.1,50.6,2.7,44.2,28.6,2.2,28.2,43,32.1,22.5,22.8
University of Sfax,49.7,52.5,27.4,53.8,0,45.1,24.5,0.9,28.7,32.9,87.1,22.5,21
Chapman University
Khon Kaen University,44.3,35.3,30,47.1,0,33.3,33.7,0.7,33.5,34.2,24.7,23.4,21.1
Universidad Nacional de Cordoba,46,21.3,30.7,50.9,2.1,11.7,24.5,0.8,18.9,33.5,60.9,23.7,24.9
Universidad del Norte,43.1,23.4,42.1,45.5,0,19,27,0,40.3,36.5,77.1,29.2,21.3
Universitas Sebelas Maret,42,17.3,29,51.2,1.9,15,31.7,1.5,37,34.5,34.7,59.7,21.8
Universitas Padjadjaran,50.5,67,30.5,48.6,0,25.7,25.6,0.9,11.6,36,40.1,28.7,21.3
Federal University of Viçosa,50.7,64,39.5,46.2,0,19.5,30.2,0,30,42.8,22.5,22.5,20.4
University of Antioquia,44.5,37.3,67.5,43.9,0.3,18.9,94.6,0.3,26.9,99.6,63.3,25.6,19.9
Beijing Jiaotong University,51,48.3,41.2,49.1,16.8,51.4,46.5,23.5,25.6,56.3,13.8,47.5,33.2
University of Calcutta,48,98.7,41.4,47.6,5,21.6,46.2,1.1,18.8,42.6,9.4,22.5,21
Kangwon National University,43,27.6,49.2,45.9,2.2,43.5,40.6,0.7,13.7,35.9,18,23.4,20.8
University of Central Lancashire
Obafemi Awolowo University (OAU),45.7,38.7,27.5,46.7,1,19.4,24.5,0,17.8,32.9,75.9,22.5,19.6
Vietnam National University - Ho Chi Minh City (VNU-HCM),42.3,19.3,30.5,44.8,0,16.9,33.4,5.8,41.4,46.8,68.4,30.5,19.4
Marmara University,44,27.7,33.2,45.2,2,19,26.2,0.9,27.9,36.3,16.4,24,24.7
University of Tunis El Manar,68.1,66.7,28.2,54.9,1.1,61.2,25.7,0.9,17.9,33.8,82.3,42.7,20
Chungbuk National University,44.5,37.3,33.2,47.5,0,38.4,42.9,0.9,12,37.3,21.2,22.5,22.9
Rowan University,45.4,47.1,46.9,47.7,1,10.1,28.1,0,13.7,33.7,22.2,42.2,25.4
Kaunas University of Technology,45.1,31.3,34.2,49.1,2.6,18.7,30.9,1.4,22.4,38,60.2,25.2,52.5
Tamkang University,43.2,31.6,36.4,45.1,2.1,38.7,32,0.9,28.8,35.4,49.5,22.5,27.1
Universidade Federal de São Carlos,49.7,57.4,36.9,46.3,8,41.1,30.3,2.9,39,33.1,33.8,26.2,22
Prince of Songkla University,44.2,35.3,33.4,46.6,0,44.1,36.5,1.6,24.3,37.6,41.6,23.7,21.9
University of Lethbridge
Universidad Austral de Chile
University of Pecs
Thammasat University,45,46.6,48.6,47.8,0,25.2,58,0,15.3,39.2,27.6,26.5,29.9
Makerere University
Kharazmi University,44.4,23,30.3,48.1,0,53.7,26.2,0,39.5,33.8,12.6,22.5,22.6
UFG - Universidade Federal de Goiás,42.6,19.1,29.7,47.7,0.9,27,32.7,0.8,10.1,40.2,19.4,29.2,20.7
Universidade Federal da Bahia,48.7,33.7,41.6,45.5,1.8,18,32.3,0.8,14.1,34.1,20.8,29.5,19.9
Ankara University,45.2,25.2,47.8,47.7,1.9,14.8,37.9,0,24.3,34.8,24.9,28.8,25.1
Universidade Estadual de Londrina,53.1,59.5,30.7,50,0,19.1,27.5,0,20.6,38.6,9.7,27.1,20.1
Dokuz Eylul University,43.3,25.5,32.7,46.8,1,15.7,31.2,1.4,17.9,36.3,6.1,23,24.9
Chungnam National University,47.1,75.9,44.4,46.1,3.6,66.7,71.5,1.9,11.4,49.2,11.7,23.5,23.6
Canterbury Christ Church University
Pusan National University,47.4,87.7,67.5,45.7,7.2,90.9,92.6,8.2,23.9,54.9,18.3,27.2,29
De La Salle University,44.1,24.9,33.4,49,0,21.5,29.6,1.2,49.7,32.9,30,22.5,22.4
"University of the Sunshine Coast, Australia"
Ege University,44.5,32.7,40.3,45.2,2.5,31.6,32.8,1.3,24.2,36.3,16.2,23.8,25.6
Universidad Nacional de Educacion a Distancia
