,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,45.3,32.8,34.3,64.3,5.2,18.9,36,0.3,41,43,14.4,25.8,27.5
Mohammed V University of Rabat,99.5,99.8,32.6,30.1,0,22.1,36.4,0,35,43.5,22.7,24.6,49
University of Sfax,51.1,63.9,30.4,50.2,0,23,33.3,0,32.8,41.6,54.2,24.6,33.5
Chapman University,63.6,98,72.1,39.2,0,26.2,35.9,0,44.5,41.8,34.1,56,36.3
Khon Kaen University,45.3,35.9,45.3,45.6,3.8,22.9,40.2,10.4,35,44.5,45.6,28.6,30.7
Universidad Nacional de Cordoba,43.9,25.9,36.2,33.4,5.8,16.7,33.5,4.7,39.1,41.9,67.8,28.1,25.4
Universidad del Norte
Universitas Sebelas Maret
Universitas Padjadjaran,47.4,46.7,31.5,50.3,8.5,17.2,33.6,7.1,33.7,42.3,28.4,37.7,32.4
Federal University of Viçosa,45.3,44.9,38.9,31.9,1.5,50.9,35,0,35,42.4,22.4,24.6,22
University of Antioquia,43.9,25.8,44.4,42.9,1,21.4,43.1,4,35.4,47.4,62.4,27.7,21.5
Beijing Jiaotong University
University of Calcutta
Kangwon National University,44.8,38.7,37.2,40.9,3.4,47.6,37.4,2.9,39.1,41.7,18.3,24.6,22
University of Central Lancashire,44.1,28.4,30.3,36.2,2.7,27.1,34.3,0.7,49.3,41.7,68.5,50.3,73.9
Obafemi Awolowo University (OAU),43.9,26.6,30.4,42,4.2,25.2,33.2,4.7,41.8,41.6,55.6,24.6,20.4
Vietnam National University - Ho Chi Minh City (VNU-HCM)
Marmara University,44.1,29.8,36.5,33.9,5.2,21.3,33.9,4.7,39.6,42.2,15.5,26,33.1
University of Tunis El Manar,47.3,37.5,30.6,73.6,0,19.3,33.6,0,48.5,41.6,37.2,24.7,22.1
Chungbuk National University,45.6,39,37.6,46,4.6,46.9,49.9,7.4,44.8,43.6,9.5,24.6,23.4
Rowan University
Kaunas University of Technology
Tamkang University
Universidade Federal de São Carlos,46.9,41,35.1,46,11.2,38.6,35.5,10.6,34.8,41.6,35.4,27.3,26.2
Prince of Songkla University,44.2,27.4,49.1,54.6,0,20.5,35.2,1.6,32.8,43.3,47.6,27.7,26
University of Lethbridge,43.9,28.3,53,35.6,0,28.2,36.3,0,35,41.6,56.4,67.1,49.4
Universidad Austral de Chile,43.7,25.1,35.3,32.7,0,21.9,34.9,0,32.5,42.8,92.9,27.5,21.3
University of Pecs,56.8,64.6,45.2,42.5,8.6,21.9,35.5,6.8,47.7,42.8,66.3,27.6,99.5
Thammasat University,44,26.8,46.6,61.3,3.8,18.9,34.8,1.6,31.6,42.4,38.7,29.2,21.8
Makerere University,43.9,26.4,46,40.6,14.4,32.9,80.3,2.1,51.2,51.8,99.8,47.7,44.9
Kharazmi University
UFG - Universidade Federal de Goiás,45.7,41.7,30.7,35.6,1.5,28.2,34.5,1.2,36.3,41.6,24.3,28.1,21.1
Universidade Federal da Bahia,45.6,31.8,37.1,45.3,2.3,20.2,37.1,6,43.7,41.7,28.7,27.9,20.6
Ankara University,44.2,27.2,36.2,50.9,10.8,18.9,35.8,11.9,41.4,42,13.8,26.8,39
Universidade Estadual de Londrina,44.5,30.4,43.2,46.2,8.7,20.5,60.9,4.9,38.6,59.1,33.4,27,21.8
Dokuz Eylul University,45.3,32.8,34.3,64.3,5.2,18.9,36,0.3,41,43,14.4,25.8,27.5
Chungnam National University,47.9,43.9,49.7,46.5,3.2,41.2,45.2,5.4,43,43.4,9.4,30.4,27.7
Canterbury Christ Church University
Pusan National University,52.8,43,34.3,56.3,1.4,63.7,42.4,7.3,34.8,42.1,7.6,24.6,21.9
De La Salle University
"University of the Sunshine Coast, Australia",43.9,36.2,46,27.8,7.8,58.9,42.6,0,41.4,48.7,70.8,68.6,84.8
Ege University,45.3,42.4,40,32.2,9.2,21.1,39,3.3,35.9,43.4,15.2,24.9,26.2
Universidad Nacional de Educacion a Distancia
