,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,27.4,25.6,20.5,37.8,0.7,14.1,28.5,0.5,16.4,40.3,9.5,22.5,20.7
Beijing Jiaotong University,40.6,36.6,37.6,50.4,4.3,55.7,44.2,2.8,15.3,66.6,17.2,26.7,35.3
UFG - Universidade Federal de Goiás,39.3,27.6,30.7,50.8,0.2,19.2,25.5,0.8,13.3,37.6,13.7,24.5,16.7
Mohammed V University of Rabat,46.9,80,15.6,26.6,0.4,15.2,29.1,0.1,28.6,40.8,37.7,21.7,27.1
Thammasat University,24.8,16.2,51.3,54.6,2.5,13.7,53.5,1.3,11.4,54.5,43.1,43.3,18.5
Kaunas University of Technology,29,19.8,21.6,48.7,1.1,26.7,26.6,0.8,4.1,37.5,22,23.3,29.6
Prince of Songkla University,26.1,19.1,32.1,39.8,2,16,25.7,1.1,21.5,36.2,47.4,28.2,19.4
Ankara University,33.8,24.8,28.9,39.7,4.9,13.4,28.4,2.1,11.6,34.6,14.8,24.4,25.9
"University of the Sunshine Coast, Australia",26.1,28.5,51.7,28.5,0.2,81,28.5,0.2,42.3,36.3,74.5,58.7,65.7
Chungnam National University,36.6,45.3,43.3,34.5,2.9,41.3,53.3,1.6,11.6,40.5,16.6,26.9,24.7
Pusan National University,42.8,58.6,65.5,39.1,4.1,60.4,72.4,2.8,28.4,63.2,18.9,38.5,48.5
University of Sfax,54.6,57.3,13.5,47.7,2.2,22.1,23.9,1.3,20.2,34,76.5,23.3,18.1
Khon Kaen University,34.6,30.6,66.7,38.8,4,18.4,32.8,1.3,17.2,49.8,40.8,32.1,21.4
Canterbury Christ Church University,26.7,25.4,32.4,38.7,0.7,29.8,25.1,0.6,13.2,34,18.9,57.3,51.3
Universidade Federal de São Carlos,70.9,49.1,30.8,47,3.6,22.8,34.5,2.7,15.3,40.4,26.2,24.1,19.8
Universidad Nacional de Cordoba,31.7,18.7,16.5,57.7,6.7,10.8,23.7,4.2,21,34.7,54.3,22.6,21.5
Tamkang University,24.8,20.8,25.2,32.3,4.2,25,28.1,2.6,11.2,35.7,14.8,33.2,34.4
De La Salle University,26.7,25.5,22.4,37.6,4.5,18.8,27.4,2.7,28.4,34,53.2,24.5,23.5
Marmara University,28.1,26.3,27.5,25.5,0.4,9.2,25.1,0.8,18.4,34,13.6,27.4,25.5
Makerere University,23.5,19,47,28.5,4.8,21.1,32,2.6,69.2,40,99.9,38.9,39.5
Universidade Estadual de Londrina,40.9,39.2,28.7,49.7,1.5,14,81,0.8,13.9,34,12.6,22.7,17.2
Universidad Austral de Chile,27.6,17.4,25.9,42.2,1.3,20.6,35.1,0.5,22.9,46.7,90.8,37.8,21.3
University of Tunis El Manar,42.7,61.6,14.7,63.4,1.9,17.3,25.1,1.1,13.8,34,72.7,24.8,18.9
Kharazmi University,44.7,42,24.5,35.8,0.1,20.6,24.3,0,19.1,35.4,9,20.5,18.2
Federal University of Viçosa,68.6,56.2,36.1,47,2.6,33.5,28,1.9,10.6,45.8,12.5,24.3,21.4
University of Antioquia,26.6,18.7,51.2,32.9,3.8,13.5,79.4,3.1,13,40.2,70.1,27,16.9
University of Pecs,33.9,26.9,37,50.8,0.9,20.1,62.4,0.3,37.6,39,70.3,24.2,71.3
University of Central Lancashire,25.9,21.9,29.3,42.8,0.8,35.2,25.8,0.8,39.7,34.4,66.8,49.8,69.9
Universidade Federal da Bahia,36.5,41.9,27.3,52.9,1.3,13.7,44.1,1.3,20.3,34.3,26.9,27.1,18
Worldwide: Top*,99.6,100,100,84.7,25.6,100,99.7,20.1,100,71,99.9,100,100
Worldwide: 75%,57.6,62.5,59.4,54.6,11.1,70.4,56.8,8.6,73.8,49.8,79.1,62.5,68.1
Worldwide: Median,38.4,38.9,39.5,42.6,3.9,40.3,35.8,2.7,44.7,39.4,47.5,34.6,37.8
Worldwide: 25%,29.6,24.7,27.6,34.5,1.3,21.2,28.1,0.9,23.3,35.6,20.8,25.2,22.2
Worldwide: Bottom*,22.4,13.6,12.9,14.8,0,9.2,23.5,0,1.4,34,0.9,20.5,16
