,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,0.02,0.04,120438,17.6,1.9,1.1,18253,0.9,N/A,1650,17%,1.2%,2%
Beijing Jiaotong University,0.07,0.13,412363,13.7,9.8,7.6,101749,11.2,N/A,38091,19.1%,1.4%,6.3%
UFG - Universidade Federal de Goiás,0.05,0.05,186624,10.2,0.9,1.9,586,3.6,N/A,0,21%,1.6%,0.3%
Mohammed V University of Rabat,0.09,0.37,50944,32.5,0.0,1.7,15234,0.0,N/A,9197,34.3%,0.5%,3.6%
University of Calcutta,0.48,0.9,321194,36,7.7,4.2,60420,6.7,N/A,2733,17.8%,0.2%,0.4%
Kaunas University of Technology,0.04,-,151795,13.8,2.8,2.9,52301,3.7,N/A,6065,24%,1%,5.7%
Prince of Songkla University,0.02,0.06,347178,18.3,1.9,1.6,16005,2.9,N/A,3518,36.1%,4.2%,1%
Ankara University,0.04,0.1,251087,17,7.6,1.2,23008,2.8,N/A,952,21.3%,1.7%,4.1%
"University of the Sunshine Coast, Australia",0.02,0.09,509411,28.3,0.8,6.5,34665,0,N/A,4045,43.3%,14.8%,15.7%
Chungnam National University,0.08,0.29,342730,22.2,4.1,6.6,126255,3.2,N/A,17852,24.5%,3.2%,3.1%
Pusan National University,0.09,0.31,664655,19.7,11.6,9.6,204172,10.4,N/A,45148,25.4%,8.3%,11%
Khon Kaen University,0.04,0.12,550005,18.8,10.3,2.1,62158,3.8,N/A,31412,34.2%,4.4%,1.5%
Universidade Federal de São Carlos,0.21,0.26,132497,14.5,7.7,2.8,48241,6.9,N/A,869,27.3%,1.9%,1.7%
Universidad Nacional de Cordoba,0.04,0.07,106472,22.3,15.8,0.4,429,14.1,N/A,N/A,39.9%,0.6%,1%
Tamkang University,0.01,0.04,213967,24,7,2.8,23830,5.7,N/A,2750,21.4%,5.5%,6%
Marmara University,0.03,0.13,19178211,39.5,0,1.5,-,0.9,N/A,0,19.7%,2.4%,3.4%
Makerere University,0.01,0.05,144,28.8,10.7,2.4,8,8.1,N/A,3,75.9%,8%,8.3%
Universidade Estadual de Londrina,-,0.14,284061,9.8,3.6,1.2,1411,0,N/A,126,18.8%,1.2%,0.4%
Universidad Austral de Chile,0.02,0.03,217021,16.7,4.9,2.1,42687,3,N/A,16382,55.4%,7.2%,1.7%
University of Tunis El Manar,0.06,0.18,25534,16.7,2,3.8,6797,1.9,N/A,523,44.6%,1.5%,1%
Federal University of Viçosa,0.21,0.29,339537,13.8,5.4,-,27243,4.5,N/A,26831,19.3%,2.2%,2.7%
University of Antioquia,0.01,0.04,528565,23.1,14,1.3,157351,16.9,N/A,10434,44.7%,2.9%,0.2%
University of Pecs,0.05,0.08,441375,12.6,1,2.1,35435,1,N/A,22141,47.2%,1.5%,16.7%
University of Central Lancashire,0.01,0.06,281239,15.5,1.6,2.7,9464,3.7,N/A,736,40.3%,11.3%,18%
Worldwide: Top*,0.31,0.68,8488460,37.1,70.9,17,1788740,78.9,0,350704,75.9%,40.2%,38.4%
Worldwide: 75%,0.15,0.33,3689130,22.3,30.3,8.7,750691,34.8,0,143418,47.1%,17.7%,17.3%
Worldwide: Median,0.08,0.2,820818,16.3,9.9,5.2,159248,10.2,0,19323,36.2%,6.5%,8.7%
Worldwide: 25%,0.04,0.1,348194,12.4,3.1,3,41559,3.3,0,4488,25.9%,2.4%,3%
Worldwide: Bottom*,0,0,0,0.6,0,0,0,0,0,0,2.8%,0%,0%
