,Teaching,Research,Citations,Industry,International Outlook
Dokuz Eylul University,14.7,8.9,16.4,40.3,17.6
Ankara University,18.1,9.6,11.6,34.6,21.7
Universidad Austral de Chile,14.4,11.4,23,46.7,50
Beijing Jiaotong University,22.9,21.7,15.4,66.6,26.4
Canterbury Christ Church University,15.6,11.3,13.2,34,42.5
Chungnam National University,21.7,19.9,11.6,40.5,22.7
De La Salle University,16.7,10.8,28.4,34,33.7
UFG - Universidade Federal de Goiás,18.5,9.4,13.3,37.6,18.3
Universidade Federal de São Carlos,26.3,13.1,15.3,40.4,23.4
Federal University of Viçosa,27.5,13.4,10.6,45.8,19.4
Kaunas University of Technology,15.6,11.1,4.1,37.5,24.9
Kharazmi University,19,9,19.1,35.4,15.9
Khon Kaen University,21.5,11,17.2,49.8,31.5
Universidade Estadual de Londrina,21.3,19.5,14,34,17.5
Makerere University,15.8,12.2,69.2,40,59.4
Marmara University,13.5,7.3,18.4,34,22.2
Mohammed V University of Rabat,24.9,8.9,28.6,40.8,28.8
Universidad Nacional de Cordoba,19.4,9.4,21,34.7,32.8
Prince of Songkla University,15.1,9,21.5,36.2,31.7
Pusan National University,27.8,28.2,28.4,63.2,35.3
Tamkang University,14.9,12.2,11.2,35.7,27.5
Thammasat University,18.4,14.2,11.4,54.5,35
Universidade Federal da Bahia,21.8,12.4,20.3,34.3,24
University of Antioquia,16.4,20.4,13,40.2,38
University of Central Lancashire,15.3,12.7,39.7,34.4,62.2
University of Pecs,18.8,16.7,37.6,39,55.3
University of Sfax,24.8,10,20.2,34,39.3
"University of the Sunshine Coast, Australia",15.9,22,42.3,36.3,66.3
University of Tunis El Manar,27.1,9.2,13.8,34,38.8
Worldwide: Top*,58.6,59.3,100,71,99.8
Worldwide: 75%,34.5,30.7,73.8,49.8,62.9
Worldwide: Median,24.3,18.7,44.7,39.4,43.5
Worldwide: 25%,18.2,11.5,23.3,35.6,27.2
Worldwide: Bottom*,9.2,6.6,1.4,34,12.7
