,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,37.6,22.4,31.3,33.7,0,15.6,30.6,0,21.7,37.5,6.7,22.7,21.5
Marmara University,40.8,31.8,30.7,32,0,17.9,26.8,0,19.2,32.5,16.4,23.6,23.5
University of Tunis El Manar,68.5,81.6,27.7,75.7,1.5,33.4,26.7,1.9,22.5,31.8,85.2,39.5,20
Vietnam National University - Ho Chi Minh City (VNU-HCM),36.1,18.6,28.1,47.6,1.1,13.3,31.6,0,32.6,39.8,76.4,25.3,21.2
Kaunas University of Technology,42.2,31.2,28.5,51.7,0.6,19.9,26.1,0.5,5.7,32.7,37.8,23.2,36.2
Universidade Federal de São Carlos,50.2,45.8,34.8,42.5,2.1,21,29,3,31.2,33.4,39.1,25,22.4
Tamkang University,37,25.6,34.6,30.4,5,37,27.9,1.7,13.7,32.5,31.4,22.2,26.1
Universidad del Norte
Universidad Nacional de Cordoba,38.8,17.8,27.2,95.8,2,12.2,23.4,0.9,26.6,31.7,60.3,23.1,26.7
Federal University of Viçosa,36.8,18.8,37,63.2,1.8,20.8,26.5,1.5,36,39.4,33.9,26.1,19.6
University of Antioquia,38.4,25.9,54.2,28.2,0.4,14.9,71.2,0.3,27.1,48.8,77.4,23,19.1
Mohammed V University of Rabat,39.5,40.7,29.6,31.9,5.7,25.9,28.7,4.1,14.6,44.2,36.4,22.2,29
University of Sfax,63,90.7,26.7,63.1,2.3,36.5,23.7,1.9,29.1,31.6,83.9,22.2,19.7
University of Central Lancashire
Kangwon National University,37.1,27.2,42.9,31.7,0,33.4,36,0.8,11.6,33.5,18,23.1,20
Khon Kaen University,39.8,31,30.4,43.9,1.3,22.4,34,0.5,39.8,59.4,23.3,22.9,20.2
Beijing Jiaotong University,46.5,44.1,42.1,46.2,6.3,47.4,58,9.8,22.4,65.3,14.3,28.5,27.4
Pusan National University,43.8,71.9,66.4,33.4,3.2,83.3,96.7,5.2,22.3,87.1,18.2,44.3,40.5
De La Salle University,36.7,21,30.6,48.5,4,24.7,26.3,4.5,58.2,31.6,50.7,22.2,21.3
Canterbury Christ Church University
Chungnam National University,45,74,42.7,33.8,6.2,64.6,71.6,5.1,10.3,56.9,10.9,23.1,21.3
Ege University,43.7,41.1,35,31,1,27.1,26,0.8,16,33.7,17.7,31.5,26.1
"University of the Sunshine Coast, Australia"
Makerere University
UFG - Universidade Federal de Goiás,35.4,16.8,27.9,49,0,18.4,30.3,0,18.3,37.9,19.5,32.1,19.7
Kharazmi University,38.8,20.6,34.2,36.4,0,45.5,30.6,0,51.3,40.1,12.1,22.2,21
University of Lethbridge
University of Pecs
Prince of Songkla University,36.9,22.6,33.1,36.5,0,35.1,28,0,18.4,32.6,46.3,24.5,21.4
Universidad Austral de Chile
Thammasat University,38,25.8,38,47.5,2,20.1,34.1,0.5,10,37,23.8,36.7,24.7
Universidade Estadual de Londrina
Ankara University,40.5,25.2,53.1,48.8,0,14.6,33.8,0,16.4,32.7,26,24.8,24.7
Dokuz Eylul University,37.6,22.4,31.3,33.7,0,15.6,30.6,0,21.7,37.5,6.7,22.7,21.5
Universidade Federal da Bahia,62.9,30.2,27.8,29.5,0,18.5,25.6,0.6,16.7,31.6,21.2,28.8,19.8
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Universitas Padjadjaran
University of Calcutta
Chungbuk National University
Obafemi Awolowo University (OAU)
Chapman University
Rowan University
