,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,35.9,24.5,32.9,70.3,3.3,19.1,35.4,3.2,38.3,42.2,8.6,25.5,26.6
Marmara University,42.3,52.7,33.3,36.6,0,21.2,32.6,0,39.1,41.6,13,24.7,33.6
University of Tunis El Manar,34.5,23.1,29.8,66.7,0,19.1,32.9,0,41,41.6,29.1,24.6,20.9
Vietnam National University - Ho Chi Minh City (VNU-HCM)
Kaunas University of Technology
Universidade Federal de São Carlos,39.5,31.1,33.9,44.1,3.9,25.7,34.5,2,36.8,41.6,36.2,26,23.6
Tamkang University
Universidad del Norte
Universidad Nacional de Cordoba,35,24.5,30.4,39.6,11.1,17.1,32.4,4.9,36.5,41.6,69.3,25.2,26.5
Federal University of Viçosa,34.4,23,38,47,0,54.7,34.8,0,35.1,42,18.9,26.7,18.2
University of Antioquia,34.8,24.6,39.6,38.4,3.2,19.7,41.9,3.3,34.4,42.5,59.9,24.7,18.9
Mohammed V University of Rabat,68,97.8,30.9,34,11.6,20.2,34.5,0,40.8,42.7,15.8,23.3,80.1
University of Sfax,56.3,57.4,29.6,46.6,0,22.7,32.5,0,32.8,41.6,43,23.3,30.1
University of Central Lancashire,34.8,25.2,29.4,33.8,2.5,25.8,33.4,2.5,45.4,41.6,64.8,55,57.6
Kangwon National University,37.8,36.5,35.8,38.8,0.5,44.8,36,0.5,40.3,41.6,14.2,23.3,19.5
Khon Kaen University,37.7,29.6,47.8,42,17.8,20.8,36.1,12.5,37,46.4,49.9,30.4,28.8
Beijing Jiaotong University
Pusan National University,78.6,46.7,47.4,54.4,2.7,60,44.5,2.6,37.5,43,7.8,24.9,23.4
De La Salle University
Canterbury Christ Church University
Chungnam National University,48.7,40.2,44.4,49.4,6.2,37.7,43.7,4.6,38.3,42.9,13.9,28.4,25.7
Ege University,36,25.9,36.4,49,4.9,20,34.4,3.2,36.1,42.6,11.8,28.2,29.5
"University of the Sunshine Coast, Australia",34.8,29.6,44.7,28.3,2.5,54.9,38.4,0,42.9,41.8,76.3,58.8,74.8
Makerere University,35.9,27.9,36.1,47.9,7.5,34.4,33.8,10.7,60.7,42.8,99.9,44.3,46.9
UFG - Universidade Federal de Goiás,38.1,32,29.7,39.7,0,22.9,33.5,0,36.9,41.6,18.8,27.3,19
Kharazmi University
University of Lethbridge,34.8,24.6,46.4,36.5,0,27.3,37.7,0,38.4,41.6,49.9,75.5,54.5
University of Pecs,40.7,28,35.6,40.2,7.2,22.2,43.6,2.6,47,42.6,71.9,25.7,99.9
Prince of Songkla University,36.6,26.5,53.1,50.7,12.8,19.9,34.5,10.3,38.7,41.9,50.2,26.8,25.4
Universidad Austral de Chile,34.6,23.9,34.9,32.5,0,21,34.4,0.5,35.8,43,93.4,24.9,22.3
Thammasat University,35.3,23.9,40,62.2,0,18.4,33.6,0,36.5,42.1,39.2,30.7,20.8
Universidade Estadual de Londrina,37.6,29.7,42.3,49.1,2.7,19.7,60.5,3,41,41.6,29,25.5,19.8
Ankara University,36.3,26.5,37.8,43.6,12.6,19.6,35.4,8.9,37.5,41.8,8.6,23.9,34.1
Dokuz Eylul University,35.9,24.5,32.9,70.3,3.3,19.1,35.4,3.2,38.3,42.2,8.6,25.5,26.6
Universidade Federal da Bahia,35.4,28.7,36.8,40.4,1.6,19.9,36.4,4,38.4,41.6,28.6,27,18.2
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Universitas Padjadjaran
University of Calcutta
Chungbuk National University
Obafemi Awolowo University (OAU)
Chapman University
Rowan University
