,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,38.1,32,27.5,38.1,0,23.6,28.7,0,11.8,30.5,8.7,32.1,22.4
Marmara University,34.1,16.1,25.1,32.4,0,14.8,23.4,0,22.8,30.6,8.6,26.1,23.2
University of Tunis El Manar,67.4,88.1,20.7,39,3.2,22,26.4,2.5,9.1,30.8,70.9,32,19.1
Vietnam National University - Ho Chi Minh City (VNU-HCM),34.7,18.5,22.3,35.3,2.8,11.8,21.6,1.1,21.5,42.2,65.1,27.4,21.7
Kaunas University of Technology,35.9,17.9,21.4,61,0,23.4,24.4,0,9.8,40.2,31.5,21.9,21.8
Universidade Federal de São Carlos,58.7,47.3,38.3,40.8,2,20.3,31,3.7,22.3,33.6,21.6,30.7,23.8
Tamkang University,34.9,22,32.2,31.7,4.2,31.2,31.6,4.8,13.3,34.5,26.7,23.9,26.1
Universidad del Norte
Universidad Nacional de Cordoba,49.1,25.2,19.6,87.9,8.2,10.1,24.8,7,32.5,30.4,53.9,23,25.3
Federal University of Viçosa,46.3,33.3,41.9,41,0,21.2,25.7,0.8,14.9,52.3,13.1,23.8,21
University of Antioquia,50.6,28.9,58.4,42.9,0.2,12.9,94.2,0.3,32.4,63.2,78.8,31.9,19.1
Mohammed V University of Rabat,35.8,22.1,20.9,35.9,0,13.2,24.6,0,13.2,42.8,34,20.5,22.3
University of Sfax,57.7,51.1,18.6,49,6.2,17.7,21.7,5,19.6,30.3,65.5,21.8,20.8
University of Central Lancashire
Kangwon National University,36.6,33.3,50,34.5,1.4,82.5,43.4,1.1,29.4,30.7,17.7,33,19.4
Khon Kaen University,36.8,32.6,29.2,33.5,0,16,27.2,0,18.2,46.9,17.2,22.5,19.5
Beijing Jiaotong University,72.8,43,41,55.2,0,73.2,31.8,0.9,24,40.9,6.7,27.8,19.3
Pusan National University,38.4,57,71.6,32.9,4.4,75.9,85.9,5.5,44,75.6,21.3,48.8,46.3
De La Salle University,35.7,21.5,24.2,41.4,3.2,8.1,27.8,1.4,83,30.3,44.1,23.4,25.3
Canterbury Christ Church University
Chungnam National University,35.4,27,50.8,32.3,2.9,69.9,49.1,3.6,9,41.1,13.9,25.9,20.4
Ege University,37.5,35.2,37,30.5,1,21.7,25,0,11.9,36,14.5,30.5,21.9
"University of the Sunshine Coast, Australia"
Makerere University
UFG - Universidade Federal de Goiás,43.2,23.7,19.1,43.5,1.9,15.3,24.1,0,25.1,41.2,17.3,27.9,19.7
Kharazmi University,39.8,28.6,31.7,38.4,0,26.6,32.9,0,22.7,72.7,5.2,20.5,20.2
University of Lethbridge,36.1,23.8,38.7,42.2,1.3,29.6,25.2,1.1,32.9,30.4,78.4,64.4,51.8
University of Pecs,51.6,28.4,27.6,56.2,0,21.4,30.1,0,9.5,32.5,38.3,20.5,81.8
Prince of Songkla University,36.4,23.7,28.5,44.5,0,12,27,0,17.1,32.7,31.2,22.5,24.2
Universidad Austral de Chile,42,21.9,28.6,49.1,0,17.3,38.7,0,35,61.7,93.4,41.9,27.3
Thammasat University,34.4,17.6,28.5,34.3,0,20.3,23.6,0,8.5,31.8,24.1,24.7,20
Universidade Estadual de Londrina,60.8,81.7,26.1,33.7,2.5,13.2,27.3,0.8,17,30.3,5.3,22.2,20.9
Ankara University,46.4,33.5,28.5,36.5,2.2,13.1,23.7,3.5,15.4,31,26.6,20.5,23.8
Dokuz Eylul University,38.1,32,27.5,38.1,0,23.6,28.7,0,11.8,30.5,8.7,32.1,22.4
Universidade Federal da Bahia,36.8,22.9,33.3,43.4,0.2,11.8,34.2,0,20.8,30.3,22,31.9,19
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Universitas Padjadjaran
University of Calcutta
Chungbuk National University
Obafemi Awolowo University (OAU)
Chapman University
Rowan University
