,Clinical and Health,Social Sciences,Arts and Humanities,Business and Economics,Psychology,Physical Sciences,Engineering,Life Sciences,Law,Education,Computer Science
Dokuz Eylul University,23.3,17.3,,,,11.9,14.3,21.7,,14.1
Marmara University,22.9,19.5,,,,14.1,14,,,18.9
University of Tunis El Manar,23.1,,,27,,15.9,22.2,17.7,,,18.5
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,16,19.5,,,,16.6
Kaunas University of Technology,,13,,12,,11.5,12,,,,14.4
Universidade Federal de São Carlos,23.1,17.9,,,25.7,18.1,20.3,21.6,,19.6,19.3
Tamkang University,,16.9,,17.9,,14.4,14.8,,,20.7,18.2
Universidad del Norte
Universidad Nacional de Cordoba,24.8,23.3,14.1,,15.7,23.4,18.5,21.7
Federal University of Viçosa,21.9,18,,,,13.8,20.5,20.4
University of Antioquia,22.5,15.4,14.6,,,24.5,20.3,22.1,,15.8
Mohammed V University of Rabat,28.9,,,18,,11.9,16.7,15,,,18.9
University of Sfax,22,,,17.1,,18.5,23.6,19.2,,,21.4
University of Central Lancashire,27.6,19.9,18.6,23.9,29.9,,,21.5,,28.7
Kangwon National University,23.7,,,,,21.9,13.1,13.5
Khon Kaen University,28.3,,,,,14,22.2,18.8,,20.1
Beijing Jiaotong University,,,,19.7,,20.1,23.9,,,,26.3
Pusan National University,26,22.7,,33.2,,33.4,28.8,,,,26.4
De La Salle University,,21.9,,,,37.3,27.4
Canterbury Christ Church University,,18.4,,,28.3,,,,,27.6
Chungnam National University,25.8,,,,,15,21.1,17.8,,,14.6
Ege University,22.6,,,,,12.1,14.7,14.9
"University of the Sunshine Coast, Australia",28.7,30.7,,,,,,38.4,,26
Makerere University,36.8,23,,,,,,20.4,,22.6
UFG - Universidade Federal de Goiás,21.3,13.1,,,,16.4,14.1,14.7
Kharazmi University,,,,,,16.6,24
University of Lethbridge,24.8,21.5,,,26.9,23,,23
University of Pecs,30.3,,,,,13.6,,24
Prince of Songkla University,27.4,,,,,13.4,15,17
Universidad Austral de Chile,22.3,19.7,,,,23.4,,24.3
Thammasat University,22,16.6,,21.5,,9.8,13.4,10.7,,,15.2
Universidade Estadual de Londrina,25.3,,,,,15.6,,16.1,,12.9
Ankara University,25.4,17.6,,,,13.9,14.2,13.1,,18.7
Dokuz Eylul University,23.3,17.3,,,,11.9,14.3,21.7,,14.1
Universidade Federal da Bahia,23,15.9,,,25.2,14.9,13.6,17.7,,,16.3
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Universitas Padjadjaran
University of Calcutta
Chungbuk National University
Obafemi Awolowo University (OAU)
Chapman University
Rowan University
