Institutions,2018,2019,2020,2021,2022,2023,2024,2025
Dokuz Eylul University,,,26.6,,,,14
Universidad Nacional de Cordoba
"University of the Sunshine Coast, Australia",,38.6,43.1,44.9,39.3,42.6,47.3,43.3
Federal University of Viçosa,9.5,27.9,27.7,42.5,15.5,34.9,42.8,46.1
Universidade Federal de São Carlos,,,,,,18.6
UFG - Universidade Federal de Goiás,22.3,,13.6,48.3,13,14.6,16.4,17.8
Universidade Estadual de Londrina,34,43.4,43.1,27.5,23.9,20.5,27.8,31.8
Universidad Austral de Chile,38.7,28.8,28.5,31.9,56.9,64.4,61.4,43.6
Beijing Jiaotong University
University of Pecs
Chungnam National University,13.7,,19.2,19,17.9,19.3,25.3,25.4
Mohammed V University of Rabat
Khon Kaen University,,36.9,36.6,28,23.6,31.9,35,41.7
Prince of Songkla University,18.2,28.8,25.6,29.8,22.4,23.7,26,43.5
Marmara University
Ankara University,,15.5,13.9,14.5,14.8,19.3,28.3,47.1
University of Antioquia,,,40.7,41.4,33,26.7,26.9,26.5
University of Central Lancashire,,,,,36.3,,23.6,34.6
University of Calcutta
Pusan National University
Kaunas University of Technology
University of Tunis El Manar,,,23.2,26.6,30.1,27.9,34.1,36.5
Tamkang University
Makerere University,33.4,,36.1,42.8,64.5,70.9,,49
Universidade Federal da Bahia,,18.3,16.9,16,18.9,27,26.2,18.8
Kharazmi University
De La Salle University
Canterbury Christ Church University
Thammasat University,,,21.1
University of Sfax,,,,,24.9
Universidad del Norte
Kangwon National University,,,16.8,18.4,16,16.3,20.2,28.2
Ege University,,,,,,,,27.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),,,,,,40,38.3,42
University of Lethbridge
Chungbuk National University,,,,18.3,16.7,15.4,24.4,33.5
Chapman University
Universitas Padjadjaran,,,,25.9,14.1,14.8,23.7,40.7
Obafemi Awolowo University (OAU)
Rowan University,,,,,,,,10.1
Universitas Sebelas Maret
Universidad Nacional de Educacion a Distancia
Worldwide: Top*,83.5,86.8,87.8,85,83.9,87.4,83.9,85.5
Worldwide: 75%,58.7,54.5,48.5,48.2,50.1,53.6,53.8,52.8
Worldwide: Median,38,36.9,35.6,34.5,36.4,36.2,36.3,39.1
Worldwide: 25%,23.2,25.4,22.3,22.9,21.7,22,24.4,25.3
Worldwide: Bottom*,7.9,8.8,6.6,7.4,7.1,6.7,9.1,7.6
