,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,39.7,31,22.8,40,1.8,16.5,30.5,0.9,24.8,37.6,12.7,24.2,23
Beijing Jiaotong University,48.9,45,43.6,46.6,6,66.7,47.2,6.3,21.6,63.7,16,60,36.5
Thammasat University,37.2,23.1,61.1,56.5,3.5,18.5,53.3,2.2,11.5,39.2,36.8,39.2,21.3
Rowan University,42.9,53.8,59.4,41.4,0.3,10.3,30,0.1,42.1,35.5,17.5,49.3,25.3
University of Calcutta,81.3,100,37.1,32.8,3.8,14.7,39.9,1.7,14.9,43.5,8.5,21.5,19.2
UFG - Universidade Federal de Goiás,48.3,38.8,32.6,46.3,1.4,26.2,29.1,1.3,15.7,39.2,20.1,28,19
Mohammed V University of Rabat,54,94.8,19.4,25.6,0.7,23,33.8,0.3,18.8,43.6,31,23.6,25.4
Kangwon National University,39.5,35.5,50,35,1.7,45.3,41.2,1.1,18.5,37.9,20.2,23.4,25.1
Prince of Songkla University,37,21.8,39.4,48.2,1.1,18.8,31.8,1.3,15.7,39.1,43.7,29.3,22.5
Universitas Sebelas Maret,39.4,38.3,18.8,39.4,0.6,14.7,51.5,0.4,24.4,38.3,6.6,48.4,20
Kaunas University of Technology,39.4,25.1,27.8,47.1,0.6,27.3,37.3,0.6,15.2,41.3,58.7,25.9,41.1
Ankara University,41.6,26.8,27,44.6,2.7,14.7,32.1,4.7,20.7,36,20.1,27.7,31.4
"University of the Sunshine Coast, Australia",40.1,49.1,56.9,29.2,1.4,91.9,41.3,0.7,48.3,43.2,76.2,67.1,72.4
Chungnam National University,44.4,55.5,50.3,36.2,2,48.7,63.3,2.1,17.5,45.3,14.4,27.9,28.4
Obafemi Awolowo University (OAU),39.8,36.7,15.6,32.7,2.6,22.1,26.7,1.2,18.4,34.8,58.9,22.3,18.3
Pusan National University,46.5,67.9,67.1,43.2,6.4,73,66,4.3,24.3,45.6,17.6,30.6,29.7
Universitas Padjadjaran,49.5,49.6,20.4,49,2.4,13.6,29.4,2.1,15.2,39.5,22.2,36.5,21.4
Vietnam National University - Ho Chi Minh City (VNU-HCM),36.1,21,21.8,34.6,4,15.6,29,3.3,23.9,40.8,67.1,31.5,19.9
University of Sfax,56.6,57.6,15.5,53.2,0.6,30.8,26.6,1.7,20.4,34.8,80.6,23.1,22
Khon Kaen University,42.8,41.7,67.4,38.4,3.5,26.1,37.6,2.5,18.7,54.5,35.9,35.7,23.5
