,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,45.7,27.4,31.5,20.4,0,20.7,29.3,0,19.4,35.7,35.5,27.6,15.8
Khon Kaen University,46.4,42.2,31.1,36.1,0,14.8,37.3,0,36.8,38.9,67.5,51.3,19.7
Chapman University,45.4,20,51.2,47,5.7,33.2,47.3,3.4,59.8,84,14.1,21.4,21
Mohammed V University of Rabat
University of Sfax,45.9,27.4,26,43.1,0,27.3,25.3,0,63.1,33.3,91.5,18.6,16.5
Universidad Nacional de Cordoba,46.4,25.6,27.8,47.9,6.3,11.7,24.8,1.5,54.8,33.6,16.9,19.3,16.4
Universidad del Norte,45.5,22.4,44.4,28.9,0.2,29.2,32,0,38.2,58.3,98,34.3,20.4
University of Antioquia,46,24.2,46,43.8,7.2,14.7,32.2,1.9,7.8,37.9,43.2,24.9,16.2
Universitas Padjadjaran,47.8,67.3,28.1,31.2,0,11.5,27,0,6.4,43.4,13.4,18.6,15.1
Federal University of Viçosa,47.4,25.7,42.5,97.7,0,18.9,36.5,0,20.5,62.4,33.8,20.2,17.6
Beijing Jiaotong University
Kangwon National University,47,60.9,42.3,34.3,0,23.8,30.5,0,41,36.8,66.3,18.6,19.8
University of Calcutta,100,84,45.5,35.3,3.1,12.5,33.5,2.2,9.8,44.9,3.8,18.6,16.5
University of Central Lancashire,45.7,24,25.6,62.4,0,24.7,26.4,0,49.6,33.9,29.1,40.9,40.9
Obafemi Awolowo University (OAU),47.6,69.5,26.4,33.2,7,16,27.5,2,11.6,37,55.2,18.6,15.1
University of Tunis El Manar
Vietnam National University - Ho Chi Minh City (VNU-HCM)
Marmara University,47.6,50.8,39.8,26.1,0,12.2,25,0,27.1,33.3,13.5,22.2,29.2
Chungbuk National University
Kaunas University of Technology,48.2,38.3,27,88.1,0,40.8,25.3,0,14.1,34,29.9,19.1,29.6
Tamkang University,45.9,23.1,29.8,64.8,2.5,15.2,25.9,0,16.2,33.3,9.6,25.2,55.6
Universidade Federal de São Carlos,56.3,98.7,45.3,33.8,7,35.6,58.7,1.6,11.1,33.3,11.9,29.1,18.3
Prince of Songkla University
Universidad Austral de Chile,50.5,34.7,32.4,66.6,0,21.3,42,1.2,20.4,54.7,75.5,44.9,20.9
University of Pecs,45.6,21.5,39.2,85.8,0,19.4,30,0,39.5,33.9,30.2,20.7,29
University of Lethbridge,45.5,22,34.1,55.5,0,27.1,28.4,0,56.6,33.4,53.4,41.7,38.8
Makerere University,45.5,25,51.5,26.3,4.4,31.7,65.4,3.7,31.3,98.6,99.7,41.9,25.1
UFG - Universidade Federal de Goiás,46.8,30.5,26.1,49.3,0,15,27.4,0,7.3,38.2,14.8,26.9,15.6
Thammasat University,45.7,25.4,37.9,45.7,0,13.2,52.6,1.3,22.8,42.7,58.9,45.9,17
Ankara University,48.9,50.4,27.5,23.3,0,12.2,26.2,2.5,26.1,33.8,13.2,21.8,33.4
Universidade Estadual de Londrina
Dokuz Eylul University,45.7,27.4,31.5,20.4,0,20.7,29.3,0,19.4,35.7,35.5,27.6,15.8
Universidade Federal da Bahia,67,61,34,44.8,6.2,15.4,50,7.1,12.4,33.1,17.9,19.7,15.6
Kharazmi University
Canterbury Christ Church University,45.7,27,25.6,39.9,0,37.9,25.3,0,30.6,33.5,2.6,63.6,48.4
Chungnam National University
De La Salle University,46.5,33.1,34.1,58.9,4.2,19.1,35.2,4.9,28.4,33.3,21.3,21.8,16.1
Pusan National University,47.2,53.6,57.7,22.9,3.7,24.3,53.3,0,35.1,98.2,51.1,78.7,47.7
"University of the Sunshine Coast, Australia",47,67.9,72.6,21.1,0,95.9,31.8,0,60.4,33.5,70.8,43.1,50.4
Ege University
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Rowan University
