,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University
Khon Kaen University,42.4,34.3,29.4,40.4,7.1,73.6,45.5,10.3,10.3,35.4,40.1,22.2,20.9
Chapman University
Mohammed V University of Rabat,45.6,36.2,22.9,33.9,1.3,17.5,25,0,12.4,41,70.8,28.2,24.8
University of Sfax,47.4,62.1,21.4,43.5,0,39.6,22.6,0,31.6,28.7,73.3,34.1,18
Universidad Nacional de Cordoba,51.3,34.3,23,69.2,9.3,15.8,22.1,5,32.9,29,48,22.6,22.9
Universidad del Norte
University of Antioquia,42.7,25.4,39.8,38.6,0.9,17.9,70.9,1.7,23.5,63.8,51.1,24.7,19.7
Universitas Padjadjaran,41.3,21.1,22.3,35.9,0,12.7,24.4,0,5.6,42.2,21.4,21.1,17.8
Federal University of Viçosa,64.2,78.2,39.5,44.2,16.7,38.2,27.8,20.8,18,43.9,7.9,23.2,22.4
Beijing Jiaotong University,40.8,18,22.4,100,0,32.6,24.7,3.8,27.5,43.5,9.8,44.6,24.6
Kangwon National University,42.8,34.2,46.7,34.7,0,37.3,42,1.9,13,38.3,11.8,25.2,23.2
University of Calcutta,100,100,42.8,30.4,8.3,14.3,44.3,0,22.8,52.7,3.1,21.1,19.3
University of Central Lancashire,41.5,20.7,20.7,66.3,0,18.1,22.4,0,39.4,28.8,57.5,49.9,60.5
Obafemi Awolowo University (OAU),42.6,31.5,21.3,27.5,0,17.4,22.2,0,5.2,28.8,33.5,21.1,17.7
University of Tunis El Manar,51.8,81,26.4,49.7,2,25.5,29.5,0,12.9,29.2,86.7,32.9,20.6
Vietnam National University - Ho Chi Minh City (VNU-HCM),41.1,21.1,46,26.4,0,15.7,25,0,26.6,29.9,79.5,21.1,17.7
Marmara University,41,19,24.9,28.1,1.5,33.3,22.3,0,37.2,28.7,22.5,21.1,20.2
Chungbuk National University,43.1,32.9,30.2,37.6,2,37.3,39.8,1.9,11.4,38.4,8.4,27.2,20.9
Kaunas University of Technology
Tamkang University
Universidade Federal de São Carlos,50.6,48,43.8,42.5,8.4,35.8,39.7,7.7,28.9,83.1,19.1,23.1,21.1
Prince of Songkla University,42,27.5,32.2,39.5,3.5,25.7,32.9,3.2,20.4,34.6,40.4,24.2,25.2
Universidad Austral de Chile,46.1,26.3,31.2,51.1,2,21.7,40.1,0,30.7,58,86.2,53.8,30.3
University of Pecs,43.4,23.8,36.3,58.7,0,32.2,25.2,0,34.1,29.7,57.9,21.1,45.9
University of Lethbridge,41,19.5,36.6,42,1.6,27,29.2,0,29.2,28.8,50.5,63.9,45.5
Makerere University,42.9,22.4,51,98.5,2.5,19,85.7,0.5,24.7,100,98.6,35.3,28.3
UFG - Universidade Federal de Goiás,46.9,30.3,21.4,53.4,5.1,26,24.2,4.3,20.5,29.2,8.7,22.9,18.8
Thammasat University,41.4,19.7,23,69.7,1.4,22.1,23,3.2,10.9,28.8,22.5,28.9,17.9
Ankara University,43.9,24.4,38.4,49,2.8,18.2,28.1,1.5,13.6,31.3,8.1,24.7,28.6
Universidade Estadual de Londrina,51.5,52.3,28.6,41.8,1.6,18.9,27.9,3.3,19.5,28.4,6.7,23.5,18.7
Dokuz Eylul University
Universidade Federal da Bahia,46.9,26.1,45.8,40.8,1.6,29.2,30.9,1.5,25.3,28.4,14,21.1,19
Kharazmi University
Canterbury Christ Church University
Chungnam National University,45,61.3,44,32.7,0,44.9,73.8,1.5,12.1,51.8,16.7,26.4,27.3
De La Salle University
Pusan National University
"University of the Sunshine Coast, Australia",45.9,48.4,52.5,31.1,1.3,53.2,58.1,0,57.1,60.9,76.7,59.4,69.7
Ege University,44.1,36.8,44.6,35,4.7,21.9,32.1,1.5,14.3,29.6,11.6,21.1,21.4
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Rowan University
