,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,39.5,26.3,31.2,33.8,0,15.4,31,0,18.1,38.3,6.3,23.3,21.3
Khon Kaen University,39.1,29.3,29.9,59.6,0,24.1,36.1,0.7,34.7,31.9,23.8,23.1,21
Chapman University
Mohammed V University of Rabat,38.9,36.9,29.4,32.4,5.3,29.1,28.7,4.4,17.8,43.3,34.5,22.4,29.1
University of Sfax,51.6,62.9,25.9,67,0,44.1,23.3,0.8,22.4,30.6,86.4,23.3,20.4
Universidad Nacional de Cordoba,40,18.2,27.1,86.2,1,11.5,23.1,0.8,16.5,31,61.1,23.4,25.1
Universidad del Norte
University of Antioquia,38.9,27.2,63.5,27.8,0.2,17.7,71.7,0.3,28.7,44,69.4,23.3,19.4
Universitas Padjadjaran,45.2,54.3,31.5,42.8,0,26.2,31.9,0,24.3,54.8,30.3,22.4,20.4
Federal University of Viçosa,36.9,22.8,38.2,27.3,0.9,48.6,28.5,0.8,35.1,38.3,28.4,24.9,19.1
Beijing Jiaotong University,46.6,37.2,38.3,54.1,10,47.4,53.8,14.5,27.1,65.1,15,47.7,31.9
Kangwon National University,38.3,33.4,44,33.7,1.2,36.6,37.3,0,13.4,34.5,16.9,23.3,20.4
University of Calcutta,100,83.4,44.2,42.1,3.2,22.1,50.9,0,25,43,9.3,22.4,20.5
University of Central Lancashire
Obafemi Awolowo University (OAU),44.6,49.7,26.1,35.8,1.9,19.7,23.5,0,24,30.7,79.2,22.4,18.9
University of Tunis El Manar,52.4,55,26.5,90.8,1.6,44.8,24.1,0.8,18,30.8,84.6,36,21.2
Vietnam National University - Ho Chi Minh City (VNU-HCM),36.9,19.8,30.4,40.7,1,13.7,29.7,5.5,43.8,42.4,71.9,23.3,19
Marmara University,39.7,27.3,32.7,32.8,0,17.9,25.5,0,21.8,30.6,17,23.8,26.9
Chungbuk National University,40.3,35.8,31,41.4,0,34.6,36.4,0,9.4,34.1,20.1,22.4,20.6
Kaunas University of Technology,41.2,28.7,28.9,52.5,0,18.4,26.5,0,9.1,32.2,48.4,25.1,40.3
Tamkang University,37.4,26.8,36.9,30.4,3.6,37.3,36.7,0.8,20.3,35.8,41.8,22.4,26.2
Universidade Federal de São Carlos,46.6,41.4,34.2,41.1,5.1,32.4,27.5,1.5,35,32.1,37.2,25.4,22.5
Prince of Songkla University,39,28.8,36.1,38,0,31.6,43,1.5,20.9,42.2,44.5,24.8,21.7
Universidad Austral de Chile
University of Pecs
University of Lethbridge
Makerere University
UFG - Universidade Federal de Goiás,37.5,19.3,27.7,49.2,0,19.7,30.1,0,11.1,37.2,18.1,27.4,20
Thammasat University,38.6,30.2,48.8,49,1.8,23,72.5,0,13.1,43.7,24.5,33,29.9
Ankara University,42.2,24.7,49.7,43.4,0.8,15,37.6,0,29.8,32.7,24.6,27.3,24.3
Universidade Estadual de Londrina,53.6,56.6,30.2,48.9,0,18.7,27.7,0,20.2,30.6,10.1,33.1,19.7
Dokuz Eylul University,39.5,26.3,31.2,33.8,0,15.4,31,0,18.1,38.3,6.3,23.3,21.3
Universidade Federal da Bahia,50,26.9,40.7,33.1,0.8,17.4,30.4,0,21.4,30.6,20.9,29,19.2
Kharazmi University,51.2,45.6,38.9,36.7,0,64.4,28.8,0,42.7,32.5,13.1,22.4,21.4
Canterbury Christ Church University
Chungnam National University,45.2,77.2,45.6,34.1,6.1,65.9,68.5,4.1,9.6,51.6,10.7,23.4,22.5
De La Salle University,37.3,22.8,33.2,49.5,2.5,20.6,29,3.1,55.6,30.6,36.5,22.4,21.5
Pusan National University,44.9,79.2,70.6,32.1,7.6,86.1,95.8,9.2,21.8,92.4,18.2,41.2,33.5
"University of the Sunshine Coast, Australia"
Ege University,44.4,41.2,42.2,34.5,0.6,26.2,33.4,0.5,17.6,32.8,16.8,23.4,22.8
Universidad Nacional de Educacion a Distancia
Universitas Sebelas Maret
Rowan University
