,Teaching,Research,Citations,Industry,International Outlook
Dokuz Eylul University,17.8,9.9,24.8,37.6,20
Ankara University,18.5,12.2,20.7,36,26.4
Universidad Austral de Chile,16.3,13.8,24.9,45.8,51.7
Beijing Jiaotong University,25.9,26.6,21.6,63.7,37.5
Canterbury Christ Church University,19.1,12.9,28.3,35,45.3
Chapman University,38.1,12.9,38.7,35.1,41.3
Chungbuk National University,19.7,17.9,19.4,41,26.6
Chungnam National University,24.6,23.6,17.5,45.3,23.5
De La Salle University,19,12.9,21.8,34.8,26
Ege University,20.5,13.1,15.7,40.3,20.6
UFG - Universidade Federal de Goiás,21.5,11.8,15.7,39.2,22.4
Universidade Federal de São Carlos,28.9,17.4,20.8,41.6,25.7
Federal University of Viçosa,25.7,14.7,16.8,46.3,20.8
Kangwon National University,19.9,18,18.5,37.9,22.9
Kaunas University of Technology,17.4,13.2,15.2,41.3,41.9
Kharazmi University,29.9,12.1,19.9,36,20.8
Khon Kaen University,24.1,14.2,18.7,54.5,31.7
Universidade Estadual de Londrina,23.3,13.4,15.3,53.1,20.1
Makerere University,18.4,22.3,48,52.3,57.2
Marmara University,17.2,9.6,22.3,36.6,25
Mohammed V University of Rabat,28.7,11.6,18.8,43.6,26.7
Universidad Nacional de Cordoba,16.8,10.3,22.7,35.6,34.9
Obafemi Awolowo University (OAU),17.7,10.4,18.4,34.8,33.2
Prince of Songkla University,17.9,10.9,15.7,39.1,31.8
Pusan National University,31.8,30.4,24.3,45.6,26
Rowan University,24.8,8.1,42.1,35.5,30.7
Tamkang University,16.6,12.4,17.5,35.7,35.6
Thammasat University,22.2,15.7,11.5,39.2,32.4
Universidade Federal da Bahia,23.8,14.3,22.7,35.1,23.7
Universitas Padjadjaran,23.7,9.8,15.2,39.5,26.7
Universitas Sebelas Maret,18.2,13.5,24.4,38.3,25
University of Antioquia,18.4,22.5,22.3,76.6,37.6
University of Calcutta,35.7,11.9,14.9,43.5,16.4
University of Central Lancashire,18.7,13.6,45.4,35.2,68.1
University of Lethbridge,18.9,13.1,19.8,34.8,55.3
University of Pecs,32.8,11.5,39.1,36.8,56.5
University of Sfax,25.2,12.5,20.4,34.8,41.9
Universidad del Norte,16.1,11.9,19.6,38.4,52.2
"University of the Sunshine Coast, Australia",22.2,27.1,48.3,43.2,71.9
University of Tunis El Manar,26,11.6,24.1,35,41.3
Vietnam National University - Ho Chi Minh City (VNU-HCM),15.7,10.9,23.9,40.8,39.5
Worldwide: Top*,52.2,54.7,100,68.3,99.9
Worldwide: 75%,32,28.9,70.9,48.9,62.6
Worldwide: Median,23.3,17.1,46.2,39.5,42.3
Worldwide: 25%,18.5,11.6,23.2,35.9,27.4
Worldwide: Bottom*,11.9,7.4,0.7,34.8,13.8
