,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University
Mohammed V University of Rabat,47.2,48.4,23.8,26.6,2.2,23.3,27.7,0,27.1,43.9,55.5,30.1,24.4
University of Sfax,51.8,57.8,22.3,25.1,0.2,46.3,25.3,2.7,47.2,31.4,84,22,22.9
Khon Kaen University,45.4,52.8,34,27,5.7,88,46.4,5.3,14.3,29.6,33.1,24.5,21.9
Chapman University
Universitas Sebelas Maret
University of Antioquia,45.5,34.2,46.5,35.1,0.6,22.1,68.1,2.6,36.6,48.1,53.5,30.7,19.8
Universitas Padjadjaran,44.1,20.2,25.6,44.9,2.6,15.5,26.9,2.3,9.2,36.5,11.7,46.3,20.5
Universidad Nacional de Cordoba,48.9,20.8,24.2,61.5,17.9,15.9,24,11.1,30.6,28.5,44.7,23.9,22.3
Universidad del Norte
Federal University of Viçosa,62,44.2,37.8,52.3,22.3,37.8,28.2,14.5,21.6,43.9,10.4,24.7,26.6
Kangwon National University,46,57.4,48.5,31.3,4.1,43.8,47.4,3.4,24,39.5,14,26.1,24.3
Beijing Jiaotong University
University of Calcutta,100,100,32.3,36.4,10.4,27.9,35.4,5,22.9,46.4,3.5,22,20.4
University of Central Lancashire,45.3,28.1,20.8,73.4,2.4,22.3,24.2,1.6,39,28.2,65.5,50.8,56.2
Vietnam National University - Ho Chi Minh City (VNU-HCM),43.9,19.6,25.3,30.9,6.7,18.1,27.6,5.1,30.1,28.1,60.9,22,19.8
Marmara University,43.8,18,26.7,29.3,1,29,25,1.2,37.1,32.5,25.4,22,45
Obafemi Awolowo University (OAU),45.7,45.5,23.7,26.4,3,20.9,24.1,4.7,9.2,27.9,27.4,22,19.5
University of Tunis El Manar,52.1,78.8,29.4,58.7,0.2,33.9,32.5,4.4,24.1,31.4,87.4,31.3,25
Rowan University,43.8,19.1,30.6,34.2,0.7,26.4,27.9,0.5,33.3,29.5,10.1,35.9,29.9
Chungbuk National University,45.6,41,31.7,38.8,0.8,40.5,49.2,1.1,20.7,42.7,8.6,27.6,24.4
Kaunas University of Technology
Universidade Federal de São Carlos,49.9,35.6,35.6,54,6.1,31.8,34,5.9,28.7,68.6,21.1,25.6,23.2
Tamkang University
Prince of Songkla University,44.3,23.6,31.6,47.7,4.4,30.4,39,4.6,23.9,62.9,42.3,27,30.9
University of Lethbridge,44,20.4,35.4,42.5,1,30.6,32.5,0.5,31.4,28,49.7,57.2,47
Universidad Austral de Chile,47.6,27.6,30.1,53.5,5.6,24.4,38.5,4.3,34.7,49.9,84.6,50.9,27
University of Pecs,44.7,21.5,34.2,52.4,3.1,42.5,25,2.3,33.6,30.4,50.2,22,60
UFG - Universidade Federal de Goiás,47.4,35.7,31.2,43.5,2.4,29.2,37.4,3.1,24.6,28.9,11.5,25.8,22.3
Makerere University,44.3,22.7,97.3,68.1,9.4,23.8,100,6.3,26.7,50.7,98.3,43,28.5
Kharazmi University,49.5,61.1,25.4,33.2,1.1,29.4,25.4,0.8,28.3,28.6,13.8,22,22.4
Thammasat University,44.1,19.3,28.8,54.8,1.8,28.9,26.3,0.6,12.5,30.2,18.4,25.1,19.4
Dokuz Eylul University
Ankara University,45.6,24.4,33.9,49.7,3.3,20.6,28.2,3.7,24,29.9,11.2,26.5,29.6
Universidade Estadual de Londrina,49.7,49.9,27.2,51.7,0.8,30.8,28.5,1.8,20.8,28,7.9,23.1,20.5
Universidade Federal da Bahia,49.3,33,37.7,33.9,1.6,29.5,24.9,1.4,28.4,28.4,17.8,22,20.2
Universidad Nacional de Educacion a Distancia
Chungnam National University,47.2,80.6,44.1,31.3,4,49,70.5,2.7,22.1,49.3,13.4,27,29.6
Canterbury Christ Church University
Pusan National University
De La Salle University
"University of the Sunshine Coast, Australia",46.7,54.6,57.1,26.1,1.2,67,54,2.9,55.8,47.5,81.7,84,62.9
Ege University,45.1,35.8,35.6,35.3,1.5,21.9,42.3,2.3,25.8,38.6,10.7,24.1,30.9
