,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,43.3,43,20.3,39.5,2.9,24.4,25.5,1.7,50,34.3,32.9,19.5,19
Mohammed V University of Rabat,50,89.2,18.1,42.2,0,20.3,30.9,0,31.8,34.7,57.4,19.5,20.5
University of Sfax,44.4,33.2,14.7,45.7,0,32.5,25.4,0,72,34,96.5,19.5,18.9
Khon Kaen University,44,42.9,23.8,43.7,2.2,14.4,29.2,0,24.9,45.4,53.8,43.8,25.1
Chapman University,42.2,22.6,50.5,47.3,7.8,33.4,25.9,0,84.1,34,26.1,22.2,26.5
Universitas Sebelas Maret,50.7,53.1,20.3,45.3,2.9,19.4,53.9,2.3,8.5,97.9,15,21.4,21.3
University of Antioquia,42.6,24.3,45.5,43,0.3,14.7,42.8,1.6,11.9,41.8,30.2,23.2,17.3
Universitas Padjadjaran,48.3,50,26.6,44.4,11.3,12,35.2,6.5,16.7,45.3,16.1,28.8,17.6
Universidad Nacional de Cordoba,44.7,25.3,16.6,49,12,11.1,25.1,2.4,22.7,34.3,16.8,20.5,18.3
Universidad del Norte,45.7,62.9,36.8,42.8,0.1,37.8,28.1,3,46.6,42.7,96.9,36,19.3
Federal University of Viçosa,92.3,73.4,46.1,45.9,0.7,39.3,55,0.9,10.6,34,19.5,22.9,19.5
Kangwon National University,45.4,56.1,47.8,43.1,0,31.8,31.9,0,35.6,37.5,39.1,19.5,22
Beijing Jiaotong University,53.6,40.2,40.4,57.4,9.9,99.8,28.2,6.5,21.8,39.4,40.6,19.5,19.1
University of Calcutta,100,81.7,25.5,51.2,6.2,17.5,30.2,2.8,17.1,39.9,5.2,19.5,18.2
University of Central Lancashire,42.6,24.7,14.2,49.2,5,22.9,27.6,3.9,39.1,34.6,32.5,36.3,41.7
Vietnam National University - Ho Chi Minh City (VNU-HCM),42.2,22.6,19.9,47.7,0,12.1,26.9,1,28.9,35.6,95,33.3,28.7
Marmara University,46.8,54.4,36.6,41.6,1.6,12.9,25.8,1.5,29.3,37.3,13.8,22.4,28.1
Obafemi Awolowo University (OAU),44.4,33.1,15.8,49.5,8,17.5,25.3,5.7,13.1,34,58,19.5,17
University of Tunis El Manar
Rowan University,42.2,22.6,23.8,50.4,0,15.9,25.4,0,48.9,34,3.5,37,19.6
Chungbuk National University,46.9,54.4,23.8,46.1,1.4,25.9,58.4,0,15.2,34.4,6.8,21.5,47.2
Kaunas University of Technology,44.2,24.2,17.2,78.9,0,29,31,0.4,15.4,34.3,50.8,34.5,29.4
Universidade Federal de São Carlos,64.9,93.2,38.1,43.2,9.8,56.1,49.1,3.4,10.8,34,10.6,29.8,19.9
Tamkang University,44,30,21.1,50.4,3.5,16.8,27,0.9,20.5,34.1,15.2,31.8,56.2
Prince of Songkla University,42.2,22.6,24.4,42.5,2.2,27.9,35,0.4,30.6,48.1,67.2,54.1,30.2
University of Lethbridge,42.9,27,25.9,49,0,29.1,34.3,0,50.9,34.1,50.4,42.8,43.9
Universidad Austral de Chile,42.2,22.6,23.2,51.9,2.7,26.5,39.3,0.8,16,49,82.7,44.8,22.4
University of Pecs,45.5,33.2,34.7,52.2,2.8,25.3,25.5,2.2,37.5,34,27.6,19.5,72.5
UFG - Universidade Federal de Goiás,45.5,31.6,23.9,48.3,0.7,15.7,44.7,1.5,7.3,36.2,15.4,26.2,18.2
Makerere University,42.4,26.7,95.4,39.8,3.9,33.8,100,5.5,33.3,34,99.4,74,21.4
Kharazmi University,88.9,98.3,21.3,45.3,2.7,20.4,29.3,1.6,33.4,38.9,57.7,19.5,44.6
Thammasat University,42.6,25.8,34.1,45,9.5,15,50.5,4.2,26.8,38.4,60.4,46.7,19.5
Dokuz Eylul University,43.3,43,20.3,39.5,2.9,24.4,25.5,1.7,50,34.3,32.9,19.5,19
Ankara University,49.3,44.4,15.7,41.7,1.9,12.3,25.9,2.5,18.3,34.4,17.2,23.6,36.7
Universidade Estadual de Londrina,49.8,46.3,20.7,48,0,16.4,32.8,0,2.3,34,10.7,20.8,17.7
Universidade Federal da Bahia,78,56.9,22.4,48.6,3.7,16.2,27.9,4,13.5,34.9,18.1,22.2,17.7
Universidad Nacional de Educacion a Distancia,49.8,68.8,31.5,41.6,3.1,71.7,26.5,0.6,25.6,35.7,18.7,23.9,27
Chungnam National University,44.9,52.6,50.1,42.1,1.4,20.9,46.8,0.8,38.6,34.2,32.1,21.8,25.7
Canterbury Christ Church University,43.7,36.1,14.2,44.5,0.5,44.2,25.8,0.9,33.9,34,3.5,61.1,54
Pusan National University,45.3,50.6,95.8,43.2,1.4,33.4,76,0.8,62.4,100,53.4,56.7,47.3
De La Salle University,43.6,28.6,29.5,48.4,2.1,21,38.2,4.3,44.8,34,23,22.2,20.1
"University of the Sunshine Coast, Australia",44.5,57.4,97.1,39,2.7,98,31.6,2.1,54.9,34,64.9,58.9,46.5
Ege University,43.9,42.7,36.4,42.2,0,17.6,26.3,0,31.7,38.8,16.2,19.5,33.4
