,Clinical and Health,Engineering,Arts and Humanities,Business and Economics,Social Sciences,Psychology,Physical Sciences,Life Sciences,Law,Education,Computer Science
Dokuz Eylul University,24.1,14.2,,22.2,23,20.9,11.8,,,16.2
Mohammed V University of Rabat,22.4,22,,15.4,20.5,,18.8,19.5,,,23.8
University of Sfax,25.2,23.4,,22.9,29.1,,21,28.1,,,25.5
Khon Kaen University,24.2,24.4,,22.2,17.6,,20.4,19.3,,26.9,22.5
Chapman University,29.8,,,22.5,32.4,33.3,24.7,,,35.9
Universitas Sebelas Maret,,19,,17.2,15.9,,21.4,,,23.9
University of Antioquia,22.2,22.7,12.9,,13,,21.2,24.5,,17.8
Universitas Padjadjaran,22,16.1,,17.5,18.1,,17.2,11.8
Universidad Nacional de Cordoba,23.7,17.3,11.8,,16.6,17.4,19.3,24.3
Universidad del Norte,,21.7,,,26.2,,21,,,26.6
Federal University of Viçosa,21.5,21.8,,17.1,17.3,,16.2,24.3
Kangwon National University,23.8,16.7,,22.7,20.6,,21.4,20.6,,,14.5
Beijing Jiaotong University,,29.3,13.8,21.3,23.6,,20.8,,,,26.8
University of Calcutta,,22.5,,20.3,18.3,,20.1,22.6,,,20
University of Central Lancashire,29,,19.2,27.1,21.5,29.9,,25.4,,31
Vietnam National University - Ho Chi Minh City (VNU-HCM),,19.6,,15.4,17.8,,16.6,20.5,,,19.4
Marmara University,23.6,20.1,,16.1,17.8,,14.4,21.3,,21.7
Obafemi Awolowo University (OAU),28.9,17,,20.9,15.8,,13.8,12.5
University of Tunis El Manar,25.9,25.7,,26.6,,,17.5,22.3,,,23.1
Rowan University,29.4,16.7,,28.6,20.4,29.2,28,19.5,,24.8
Chungbuk National University,26.8,17.2,,,16.2,,13.4,17.7,,,20.5
Kaunas University of Technology,,23.7,,22.5,15.4,,20.1,,,,25.5
Universidade Federal de São Carlos,23,24.9,,,20.6,24.5,20.8,22.6,,22.4,21.8
Tamkang University,,25,,19.4,15.8,,21.2,,,18.8,16.4
Prince of Songkla University,22.1,21.9,,19.8,19.8,,19.2,20.3,,26.2,18.6
University of Lethbridge,23.6,,,,24.1,23.7,18.1,21.5
Universidad Austral de Chile,20.2,,17,,16.8,,25.8,25.5,,20.5
University of Pecs,31.8,13.4,,,21.4,30.3,17,23
UFG - Universidade Federal de Goiás,23.5,14.8,,,11.9,,16.5,18.3,,16.8,14.1
Makerere University,33.4,,,24.1,27.5,25.7,27,27.6,,28.9
Kharazmi University,,21.3,,19,23.7,,17,19.1
Thammasat University,21.7,19.1,,25.8,20.9,,13.5,12.7,,27.8,15.6
Dokuz Eylul University,24.1,14.2,,22.2,23,20.9,11.8,,,16.2
Ankara University,27.5,20.7,13.7,,14.8,23.6,13.7,17.6,,24.7
Universidade Estadual de Londrina,24.4,17.1,,,10,16.3,15.3,16.7,,17.2
Universidade Federal da Bahia,26.9,14.5,17.7,,15.5,16.2,11.6,18.4,,21.7,15.5
Universidad Nacional de Educacion a Distancia,,19.7,17.5,16.2,20.6,24.7,24.9,,14,39,22.7
Chungnam National University,26.7,21.5,,,21.8,,17.8,22.2,,,17.5
Canterbury Christ Church University,22.9,,,,20.2,27.5,,,,26.1
Pusan National University,24.2,31.5,,40.8,34,,28.4,,,,24.9
De La Salle University,,23.9,,18.2,22.1,,21.7,,,30.5,23.4
"University of the Sunshine Coast, Australia",28.6,,,27.9,32.5,24.9,,36.5,,27.5
Ege University,24.6,19.2,,,17.5,,12.5,18.5,,20
