,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,45.7,35.3,35.3,65,2.4,20.1,54.4,1.7,35,78.3,14.4,26.9,26.1
Mohammed V University of Rabat,98.9,99.9,30.2,29.8,0,23.7,37.4,0,27.6,43.8,27,25,49.1
University of Sfax,51.4,63.9,27.3,53.2,4,24.6,33.2,6.1,33.4,41.4,61.4,25,36
Khon Kaen University,44.8,30.3,45.4,49.9,11.6,23.7,40,8.9,29.2,47.6,43.7,28.2,28.7
Chapman University,65.1,99.2,71,38.4,0,28.5,35.5,0,46.9,41.3,33.2,38.4,37.3
Universitas Sebelas Maret
University of Antioquia,43.8,25.8,39.1,46.7,0.6,22,40.4,4.1,32.8,42,59.3,27.7,20.6
Universitas Padjadjaran,45.6,40.5,28.4,55,5,19.1,34.3,7.1,29.1,42.6,19.4,37.9,28.8
Universidad Nacional de Cordoba,43.8,24.8,28.6,37.8,3.9,17.7,33.3,1.4,38.4,41.4,70,28.1,25.9
Universidad del Norte
Federal University of Viçosa,46.2,32.6,36.5,32.9,3.5,68.7,33.9,1.2,29.5,41.3,22.7,25,22.1
Kangwon National University,44.3,33.7,34.9,42.4,5,48.2,37.8,5.3,34.5,41.4,16.8,25,22.4
Beijing Jiaotong University
University of Calcutta
University of Central Lancashire,43.8,28.4,27.1,37.1,1,28.3,34,0.9,47.8,41.3,65.7,56.3,85.4
Vietnam National University - Ho Chi Minh City (VNU-HCM)
Marmara University,44,29.6,33.8,35.1,5.3,23.8,33.5,4,37.9,41.3,15.2,26.1,39.5
Obafemi Awolowo University (OAU),43.7,26.9,28,34.4,7,34.4,33.3,3.9,49.5,41.2,64.9,25,20.6
University of Tunis El Manar,48.3,47.5,27.9,67.6,4,21.8,34.2,3.1,40.4,41.5,39,25.2,25.4
Rowan University,57.4,92,49.1,43.7,0,31.2,35.9,0,48.4,41.3,14,49.5,27.7
Chungbuk National University,46.1,43.1,33.4,49,0.8,46.4,43.6,2.3,45.1,43,9.4,25,22.9
Kaunas University of Technology
Universidade Federal de São Carlos,47.6,38.3,32.4,46.1,6.6,41.8,35,7.9,28.6,41.3,35.7,27.8,25
Tamkang University
Prince of Songkla University,43.8,25.6,50.3,58.1,4.3,22.3,40.4,5.7,28.9,46.6,43.7,28.1,25.3
University of Lethbridge,43.6,25.5,46.1,35.5,0,28.4,37.4,2.2,33.5,41.3,49.4,73.6,53.7
Universidad Austral de Chile,43.6,24.3,32.7,32.5,0,23.8,34.7,1.4,28.4,42.2,92.5,28.1,21.4
University of Pecs,58.6,76.9,50,39.1,11.5,24.5,38.4,8.1,39.8,42.3,65.8,32.9,99.4
UFG - Universidade Federal de Goiás,46.1,44.8,30,36.2,1.9,25.6,41,1.4,38.2,41.6,28,25,23.1
Makerere University,43.7,25.8,74.7,39,10.7,31.7,97.2,8.6,42,51.8,99.6,48.9,43.3
Kharazmi University
Thammasat University,43.9,26.3,46.9,65,7.1,20.1,35.6,4.8,27.7,43.6,38.2,31.1,22.1
Dokuz Eylul University,45.7,35.3,35.3,65,2.4,20.1,54.4,1.7,35,78.3,14.4,26.9,26.1
Ankara University,44.1,26.7,32.8,51.5,9.8,20,35.3,8.5,43,41.6,15.3,27.7,42.7
Universidade Estadual de Londrina,44.1,27.3,38.5,55.8,2.1,24.9,54.5,3,37.1,52.4,34.7,26.5,22.4
Universidade Federal da Bahia,45.6,32.8,35.3,39.2,4.7,22.7,33.8,5.6,46.2,41.3,29.1,28.5,20.8
Universidad Nacional de Educacion a Distancia
Chungnam National University,50.4,52.8,51,46.8,2.4,42.6,49.8,2.5,41.1,43.1,8.7,30.8,27.8
Canterbury Christ Church University,43.6,24,27.1,34.7,2.6,24.1,33.9,2,35,41.2,19.4,39.4,78.2
Pusan National University,47.1,44.2,38.8,45.2,3.9,81.2,48.3,3.7,31,42.4,7.7,25,22.9
De La Salle University
"University of the Sunshine Coast, Australia",43.7,32.1,42.3,29,2.8,49.4,39,0.4,41,46.5,67.8,65.6,89
Ege University,45.2,43.6,56.5,41,5.2,27.6,37.1,4,36.6,46.7,15.7,26.4,34.6
