,Doctorate Bachelor Awarded,Doctorate awarded to academic staff,Institutional income to academic staff,Students to academic staff ratio,Teaching reputation,Publications per staff,Research income to academic staff,Research reputation,Citations,Industry income to academic staff,International co-authorship,Proportion of international academic staff,Proportion of international students
Dokuz Eylul University,42.2,18.6,24,31.6,0.4,29.8,24.7,0,13.5,33.3,7.7,21,25.6
Mohammed V University of Rabat,44.6,53.5,23.9,24.9,2.8,18.7,31.7,4.7,23.9,48.8,34,21.4,23
University of Sfax,57.8,50.9,20.3,47,2.4,27.1,24.6,3.2,27.2,33.8,75.3,21,25.5
Khon Kaen University,45.9,46.6,25.1,28.9,0.7,21,30.1,0.7,32.7,52.3,19.1,23.3,22.4
Chapman University,41.9,17.7,78.4,94,0.3,26.8,32.1,0.2,35.9,33.3,79.3,31.8,40.5
Universitas Sebelas Maret,41.9,17.7,26.3,33.1,0.2,85.7,39.1,0.1,26.9,77.5,1.4,67.3,21.2
University of Antioquia,45.7,35.6,63.2,33.6,0,22.9,27.7,0.7,31.2,34,69.5,43.7,20.7
Universitas Padjadjaran,42.2,20.4,25.5,36.3,0.2,17.8,27.1,0.8,29.1,39.4,7.4,23.1,20.1
Universidad Nacional de Cordoba,60.1,24,26.6,46.1,5.6,17.7,24.4,4.4,24.7,34.3,59,28.1,25.4
Universidad del Norte,44.5,20.9,25,60.5,0,24.3,25.9,0,32.8,34.3,71.6,32.2,21.1
Federal University of Viçosa,70.5,29.9,42.9,64.8,1.9,27.7,27.7,1,17.9,38.9,11.6,26.7,24.5
Kangwon National University,43.5,39.9,55.7,29.6,1.8,95.4,49.2,1.4,24.5,42,16.4,21,21.1
Beijing Jiaotong University,45.4,31.1,43,46.9,3.2,99.6,31.7,3.8,21.3,45.7,5.4,42.8,21
University of Calcutta,100,100,39,38,8.2,37,54.8,3.8,13.1,52.1,6.3,21,21.1
University of Central Lancashire
Vietnam National University - Ho Chi Minh City (VNU-HCM),43,26,21.9,35.9,0,15.7,26.8,1.3,24.8,37.1,40.2,21.5,20.1
Marmara University,42.9,27.9,44.2,24.6,0.4,37.3,25.1,0,18.1,33.3,11.9,23.5,28.2
Obafemi Awolowo University (OAU),44.1,24.1,21.4,43.4,4.3,14.3,24.3,2.6,13.8,33.3,47.2,21.9,20.2
University of Tunis El Manar,47.5,82.5,25.4,39.4,2.4,42.1,33,2.9,10.9,35.6,74.5,33.3,25.4
Rowan University,41.9,17.7,23.4,77.2,0,16.4,25.4,0,54.1,34.4,31,50.3,27.1
Chungbuk National University,43,27.9,26.7,37.4,0,64.8,33.9,0.4,10,40.2,18.2,23.2,21.9
Kaunas University of Technology,41.9,17.7,27.9,65.5,1.3,25.5,37,1.3,28.3,40.4,56.7,21.6,26.5
Universidade Federal de São Carlos,55,50.6,37.4,35.8,3.8,30.3,31.1,4.7,27.3,33.6,21.4,32.4,24.5
Tamkang University,42,18.9,35.8,25.7,3.6,28,40.1,1.6,32.7,36.3,50.8,25,24.3
Prince of Songkla University,43,23.5,35.6,48.5,0,15.7,37.6,0,28.1,69.4,34.4,21.9,24.2
University of Lethbridge,42.7,24.6,40.1,37.8,0,31.7,26.3,0,19.6,33.4,69.3,69,52.1
Universidad Austral de Chile,46.6,24.6,31.2,39.9,0,23.1,38.7,0.2,41.8,51.3,90.6,49.7,26.2
University of Pecs,60.6,43.6,31.8,72.6,0.3,25.9,45,0.2,10.8,41.5,42.4,25,97.5
UFG - Universidade Federal de Goiás,47,32.5,30.6,37.7,0.9,19.7,33.4,0.9,22.8,34.8,20.7,27.1,22
Makerere University,42.3,20.9,82,42.6,0.1,15.4,93.6,0.1,35.8,82.1,92.8,38.4,34.5
Kharazmi University,48.8,48.2,26.1,36.2,0,32.3,26.8,0,23.6,36.8,12.4,21,23.1
Thammasat University,42.3,21.7,35.9,34,0.3,27.6,30.6,0.2,14.2,51.8,25.9,29,21.6
Dokuz Eylul University,42.2,18.6,24,31.6,0.4,29.8,24.7,0,13.5,33.3,7.7,21,25.6
Ankara University,48.2,33.5,27.5,34,1.2,14.2,26.5,0.8,15.5,34.5,30.4,22,27.1
Universidade Estadual de Londrina,53.9,57.1,25.6,35.7,0.9,21.1,28.3,0.2,18,39.9,9.6,22.6,22
Universidade Federal da Bahia,47.5,27.5,25.9,42.4,1.4,12.7,24.8,1.1,10.4,33.5,16.4,34.2,20.7
Universidad Nacional de Educacion a Distancia,43.5,26.3,35.5,23,0,27.9,25.9,0,45.6,35,32.6,23.9,64.1
Chungnam National University,43.4,45.3,59.4,26.6,4.7,73.1,62.7,2.2,12.5,41.2,16.1,25,23.3
Canterbury Christ Church University
Pusan National University,43.7,57,82.9,27.7,8.9,89.3,86.7,3.3,31,47.7,20,29,33.7
De La Salle University,54.3,27.4,24.3,68.4,0.6,21.3,26.1,0.2,36.9,33.3,23.9,22.5,24.7
"University of the Sunshine Coast, Australia"
Ege University,42.3,24,38.9,25.1,1.4,30.2,32.4,0.9,11.6,35.5,15.8,31.4,25
