,Teaching,Research Environment,Research Quality,Industry,International Outlook
Dokuz Eylul University,25.2,14.5,25.8,64.6,29
Ankara University,18.1,12.3,30.7,32.3,35.1
Universidad Austral de Chile,15.6,15.3,29.1,32.6,53.4
Canterbury Christ Church University,24.4,13.4,45.7,18.9,64.3
Chungbuk National University,31.9,27.9,33,56.5,32.6
Chungnam National University,29.7,29.9,36,76,25.5
De La Salle University,22.8,12.4,30.4,22.5,29.5
Ege University,31.3,15.1,33.1,58.1,26.3
UFG - Universidade Federal de Goiás,30.2,12.7,24.5,25.2,27.9
Universidade Federal de São Carlos,33.4,20.9,33.1,51.5,31.5
Federal University of Viçosa,32.2,12.6,23.2,29.8,24.6
Kangwon National University,23.4,24.1,33.7,52.9,24
Kaunas University of Technology,22.6,17.4,46.4,40.6,40.5
Kharazmi University,29.6,14.6,44.8,25.1,34
Khon Kaen University,30.3,16.4,41.4,46.4,35.9
Universidade Estadual de Londrina,31.8,16.7,19.6,34.6,24.7
Makerere University,20.9,6.4,45.1,20.1,67.4
Marmara University,23.9,11.5,31.1,28.9,30
Mohammed V University of Rabat,28.5,15.5,35,40.8,31.8
Universidad Nacional de Cordoba,17.8,10.3,20.6,20.5,37.2
Universidad Nacional de Educacion a Distancia,18.3,19.5,39.5,43.6,31.4
Obafemi Awolowo University (OAU),19.1,11.7,31.6,36.5,39.3
Prince of Songkla University,24.3,15.3,35.8,48.3,38.1
Pusan National University,38.7,39,47.8,93,40.7
Rowan University,29,12.7,47.8,38.6,39
Tamkang University,16.4,11.7,36.7,47.8,44
Thammasat University,27.9,20,28.1,32.8,37.9
Universidade Federal da Bahia,28.8,12.4,27.1,22.6,29.4
Universitas Padjadjaran,31,12.2,25.3,25.4,47.8
Universitas Sebelas Maret,20,22,33.8,49.7,37.3
University of Antioquia,19,19.7,34.7,40.5,39.7
University of Central Lancashire,19.1,13.7,57.3,37.3,83.3
University of Lethbridge,19.1,14.3,29.6,41.7,61.2
University of Pecs,40.9,18.7,35.2,39,57.4
University of Sfax,32.9,13.4,41.3,40.2,45.2
Universidad del Norte,18.8,14,29.4,24.6,51.1
"University of the Sunshine Coast, Australia",21,28.2,70.7,56.9,69.1
University of Tunis El Manar,44.5,25.4,29.7,66.5,54.9
Vietnam National University - Ho Chi Minh City (VNU-HCM),14.2,12.7,29.6,40.5,35.1
Worldwide: Top*,56.7,54.6,99.7,100,99.3
Worldwide: 75%,34.2,28.8,72.5,68.3,64.3
Worldwide: Median,25.6,17.1,52.3,41.7,45.3
Worldwide: 25%,19.2,11.6,30.7,23,32
Worldwide: Bottom*,9,2.8,3.4,15.7,16.4
