,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,0.04,0.13,369539,23.7,11.1,1.6,173882,9.3,0.92,8.16,1.03,46.65,140882,4.24,21.9%,3.1%,2.8%,0
UFG - Universidade Federal de Goiás,0.14,0.18,435819,13.3,8.8,2.6,59957,10.9,0.9,9.75,0.96,49.83,3342,4.74,29.5%,2.3%,0.6%,0
Mohammed V University of Rabat,0.17,0.78,100115,41.7,24.7,4.1,36334,27.5,0.93,22.76,1.16,59.48,17781,3.73,37.7%,1.2%,3.1%,0
Thammasat University,0.01,0.04,571597,11.4,25,2.2,78351,19.3,0.85,9.06,0.99,53.69,9819,3.69,34.8%,8.1%,1.4%,0.02
Rowan University,0.07,0.24,564513,14.5,3.9,3.1,19506,2.8,1.26,12.12,1.31,50.8,556,7.57,25.6%,11.4%,3.3%,0
Kangwon National University,0.03,0.16,510883,21.6,2.2,7.6,101005,5,0.92,20.69,1.08,66.21,5584,30.58,26.1%,0.8%,2.6%,0
University of Calcutta,1.63,0.8,146680,14.2,54.4,4.5,33973,29.4,1.02,15.32,1.04,58.9,9369,6.18,19.8%,0%,0.4%,0
Prince of Songkla University,0.02,0.05,487372,12.9,17.1,3,56910,19.6,0.95,14.33,1.14,55.12,29454,8.89,40.1%,4.5%,1.8%,0
Universitas Sebelas Maret,0.05,0.12,117385,16.9,17,3.7,72528,20.3,0.96,13.49,1.12,54.91,63963,0.2,14.5%,12.4%,1.6%,0.02
Kaunas University of Technology,0.04,0.09,255289,13.3,5.7,3.8,67600,13.8,1.06,12.84,1.21,61.66,16669,6.48,47.1%,2%,8.4%,0.01
"University of the Sunshine Coast, Australia",0.03,0.16,598366,29.8,8.5,10.5,77140,7.2,1.48,30.73,1.58,78.52,20775,2.85,50.2%,16.8%,12.5%,0
Ankara University,0.06,0.18,293324,27.6,22.8,2.4,35519,31.7,1,15.89,1.12,46.1,20519,11.87,29.8%,4.3%,6.1%,0.01
Chungnam National University,0.08,0.3,558773,19.8,6.3,8.5,263036,11.4,0.94,25.59,1.1,72.17,28893,50.45,24.1%,2.6%,4.3%,0.01
Obafemi Awolowo University (OAU),0.01,0.05,53155,22.5,9.8,2.6,3673,7.6,1.07,7.96,0.93,47.34,0,1.99,43.6%,0%,0%,0
Vietnam National University - Ho Chi Minh City (VNU-HCM),0.01,0.04,6,24.5,29.2,2,1,41.4,1,11.36,1.14,33.93,0,1.59,40.9%,2.9%,0.7%,0
