,Doctorate bachelor ratio,Doctorate staff ratio,Institutional income,Student staff ratio,Teaching reputation,Research productivity,Research income,Research reputation,Citation impact,Research excellence,Research strength,Research influence,Industry income,Patents,International co-authorship,International staff,International students,Studying abroad
Dokuz Eylul University,37.9,44.4,51.2,23.7,1.2,19.8,73.3,0.8,18.8,31.7,18.3,46.6,100,34.3,12.4,33.4,30.7,36.5
UFG - Universidade Federal de Goiás,71.2,54.9,57.9,61.3,1.3,24.3,45.3,1,22,27.7,13.8,49.8,35.4,26.2,27.5,31.2,24.5,34.6
Mohammed V University of Rabat,78.1,99.8,25.4,10.3,2.9,29,41.4,2.6,18.5,49.1,29.3,59.5,55.4,19.3,37.2,27.6,31.3,43.3
Thammasat University,30.2,26.4,70.8,74.9,3.7,25.6,68.9,2,14.5,40.9,16,53.7,44.2,15.9,39,48.7,26.6,77.5
Rowan University,47.9,48.7,70.2,53.7,0.3,31.3,32.9,0.3,44.8,45.7,44.9,50.8,31.8,29.7,21.3,62.5,33.1,29.3
Kangwon National University,36.5,50.1,65.3,27.7,0.9,55.8,57.1,0.8,17.7,52.7,22.3,66.2,38.4,56.4,15.6,26.6,29.9,29.6
University of Calcutta,100,100,29.3,55.7,7.1,33,37.3,3,28.8,37.7,19.3,58.9,43.6,16.9,9.3,24.6,24,28.3
Prince of Songkla University,32.3,26.9,63,63.8,2.2,25.1,46.8,1.8,22.2,46,27.7,55.1,70.9,16.1,48.2,37.3,27.7,35.2
Universitas Sebelas Maret,40.5,36.4,26.8,42,2.1,30.8,66.3,1.5,28.2,38.1,25.8,54.9,96.2,0.5,7.1,65.4,27.5,94.5
Kaunas University of Technology,38.6,33.7,39.6,61.1,1.3,30.5,45.7,1.4,28.4,53,34,61.7,53.9,19.9,44,29,44.6,64
"University of the Sunshine Coast, Australia",34.6,49.9,73.2,16.4,1.1,94.3,49.6,0.7,62.6,83,71.7,78.5,59.6,15,72.7,72.7,61.8,29.7
Ankara University,45.8,37.6,43.4,18.6,3.1,18.1,34.4,2.6,26,33.6,25.3,46.1,59.2,13.9,24.2,37.1,41.8,45.6
Chungnam National University,51.3,77.8,69.7,32.3,2.1,59,93.2,1.4,19.6,54.7,24.1,72.2,70.2,73.3,11.2,31.7,35.2,44
Obafemi Awolowo University (OAU),30.1,30.3,21.7,25.9,3.6,26.5,30.1,2.5,32.9,33.9,12.1,47.3,31.1,7,66.6,24.6,22.6,30.8
Vietnam National University - Ho Chi Minh City (VNU-HCM),30.1,26.8,28.2,22.5,3.4,18.2,31.8,2.7,19.9,35.4,27.8,33.9,43,9.4,53.1,32.8,24.6,29.4
Pusan National University,56.5,96.4,94.2,42.2,5.8,94.6,97.7,4.3,23.4,80.5,31.1,88.8,84.6,88.7,17.5,41.7,54,57.5
Universitas Padjadjaran,59.3,51.4,25.4,75.5,2.5,16.5,40.6,2.2,14.6,21.4,10.5,39.8,45.9,1.3,15.2,60.7,26.9,53.2
University of Sfax,77.5,80.4,18.7,66.3,3.6,35.7,28.6,2.7,25.8,64.3,27.6,73.7,31.9,37.1,79.5,25.4,29.1,57.8
Khon Kaen University,39.5,45.1,50.9,40.8,3.3,33.2,40.9,2.7,27.2,46.1,24,61.6,57.3,15,37.8,39.7,28.7,96.3
Canterbury Christ Church University,33.8,45.1,53.8,31.4,1.3,39.6,30.8,0.6,35.9,48.9,57.8,53.2,31.5,4.4,34.1,74,70.6,29.8
Universidad Nacional de Educacion a Distancia,41.9,86.6,44,6.1,2.5,63,31.1,1.7,18.7,66.2,22.2,82.5,33.8,37.8,29.7,29.2,34.1,31
